gene_id	pvalue	padj	log2FoldChange	baseMean	rank	rank_frac	neglog10_pvalue	distance_to_line	selected_by_bend
ENSMUSG00000022365	0.0033989539240758	0.0123077502563135	0.074843956646629	5300.52722250061	5928	0.2761239226648032	2.468654722635316	0.7156433132087288	False
ENSMUSG00000026765	0.0033994526819008	0.0123077502563135	-0.224141838123499	603.837196331744	5929	0.27617051013277427	2.4685909995354347	0.7155969384087405	False
ENSMUSG00000015994	0.0034024802199832	0.0123166341318988	-0.1007460168368	6414.07273466349	5930	0.2762170976007454	2.4682043908497175	0.7155516398881253	False
ENSMUSG00000053550	0.0034048840029089	0.0123232574618856	0.299876476930375	253.842923572498	5931	0.2762636850687165	2.4678976789801794	0.7155060750462525	False
ENSMUSG00000129972	0.0034055869589613	0.0123237238133959	1.45376936511821	8.59602974683395	5932	0.2763102725366876	2.467808025874727	0.7154597866791415	False
ENSMUSG00000026098	0.0034154692774548	0.0123574015691632	-0.29175835635116	271.96802759562	5933	0.27635686000465876	2.466549616841212	0.7154173941437191	False
ENSMUSG00000028540	0.0034173584364567	0.0123621530497103	0.170516991944012	704.798346150566	5934	0.27640344747262985	2.4663094669690886	0.7153716074297407	False
ENSMUSG00000143161	0.0034307751623488	0.0124085964001652	2.97692719054356	19.7840264193064	5935	0.276450034940601	2.464607742728089	0.7153306926035575	False
ENSMUSG00000004994	0.0034340313699255	0.0124182812309334	0.167740829120529	482.675671420739	5936	0.2764966224085721	2.4641957418707006	0.7152854787230495	False
ENSMUSG00000143741	0.0034373392534492	0.0124281496403135	0.279374704404574	192.649965223433	5937	0.2765432098765432	2.463777602389995	0.7152402853045066	False
ENSMUSG00000021958	0.0034384610934316	0.0124301121306172	0.238254032500961	225.766114291011	5938	0.27658979734451433	2.4636358853843583	0.7151941704827759	False
ENSMUSG00000028944	0.003448730774683	0.0124651380382803	-0.102541457579851	8059.8296190588	5939	0.2766363848124854	2.4623407075268524	0.7151519005094269	False
ENSMUSG00000086714	0.0034494261313447	0.0124655524133748	-0.522704941027759	38.5112463492667	5940	0.2766829722804566	2.4622531509327454	0.7151056051539829	False
ENSMUSG00000067424	0.0034545789412821	0.0124820723032422	-0.181316098517938	484.618581695888	5941	0.27672955974842767	2.4616048787156513	0.7150611788403467	False
ENSMUSG00000025724	0.0034686760322261	0.0125308986381297	0.13738577549098	1693.03033071305	5942	0.2767761472163988	2.4598362605461648	0.7150204869927	False
ENSMUSG00000099094	0.003474126121671	0.0125484757408364	-0.78671956935353	19.0386047073525	5943	0.2768227346843699	2.45915441935135	0.7149761725750414	False
ENSMUSG00000051346	0.0034806535800328	0.0125672699142775	-0.171036946795582	626.728381755916	5944	0.276869322152341	2.45833919871134	0.7149323027530907	False
ENSMUSG00000024181	0.0034808694522816	0.0125672699142775	-0.10342883867103	2400.24434584824	5945	0.27691590962031215	2.458312264339064	0.7148858053246844	False
ENSMUSG00000024064	0.003481085759354	0.0125672699142775	-0.180764300576006	3866.83352025961	5946	0.27696249708828324	2.4582852773892445	0.7148393080715356	False
ENSMUSG00000018481	0.0034845114447246	0.0125775218887606	0.137220087636257	4639.38167916625	5947	0.2770090845562544	2.4578581047206143	0.7147941447634536	False
ENSMUSG00000049130	0.0034861457012827	0.012581305249451	0.671228629933396	145.395806399193	5948	0.2770556720242255	2.457654465780028	0.7147482363470388	False
ENSMUSG00000021496	0.0034926901319411	0.0126028049037231	-0.203293287681228	750.000357770835	5949	0.2771022594921966	2.456839942835745	0.7147043641994484	False
ENSMUSG00000021116	0.0034940908150501	0.0126057400732549	0.090535104868141	3764.7083350269	5950	0.2771488469601677	2.456665811441646	0.7146583574250857	False
ENSMUSG00000049401	0.0034996761502457	0.0126237688188836	0.112790611422608	1722.92458501451	5951	0.2771954344281388	2.4559721421264524	0.7146140824342784	False
ENSMUSG00000127004	0.0035052318777048	0.0126416847256069	1.09098010590578	14.3193660396748	5952	0.27724202189610997	2.455283247347324	0.7145697915284381	False
ENSMUSG00000120426	0.0035060045489586	0.0126423473287328	1.1972277717404	13.2447113324392	5953	0.27728860936408106	2.455187524754963	0.7145235233928391	False
ENSMUSG00000021785	0.0035160846425349	0.0126765658274529	0.0803072947037125	3373.14158956951	5954	0.27733519683205216	2.453940678722447	0.7144810923142918	False
ENSMUSG00000018415	0.0035193433825993	0.012686183887637	-0.140088912311758	2923.48694734464	5955	0.2773817843000233	2.453538356952092	0.7144358461703374	False
ENSMUSG00000031224	0.0035239052118259	0.0127004951774774	-0.258713621211498	312.965296279967	5956	0.2774283717679944	2.4529757820235	0.7143911342006422	False
ENSMUSG00000051483	0.0035367213117569	0.0127445458583474	0.118848195777298	3348.72323358948	5957	0.27747495923596555	2.4513991605795438	0.7143498023674268	False
ENSMUSG00000019866	0.0035385595908311	0.0127490299054684	0.641471368166303	372.607866840206	5958	0.27752154670393664	2.4511734862954895	0.7143039674017533	False
ENSMUSG00000097911	0.0035402330181431	0.0127529186050446	-0.484935615143644	56.4265614883083	5959	0.27756813417190773	2.450968151769914	0.7142580646372574	False
ENSMUSG00000032096	0.0035497972571398	0.0127852261613699	0.0598853111548516	10267.4943141186	5960	0.2776147216398789	2.4497964504997864	0.714215383077545	False
ENSMUSG00000073008	0.0035514081508504	0.0127888822959495	-0.822537973279358	55.3941119298716	5961	0.27766130910785	2.4495994128924363	0.714169452656807	False
ENSMUSG00000022214	0.0035537890543649	0.0127953096009724	-0.0759584082926526	3675.36287685835	5962	0.2777078965758211	2.4493083545960572	0.7141238356366437	False
ENSMUSG00000021669	0.0035638643096753	0.0128294333844525	-0.150469429150645	9776.81586154533	5963	0.2777544840437922	2.448078839618634	0.7140813467882302	False
ENSMUSG00000034459	0.0035675426892505	0.0128373701324634	0.599959293404413	2059.74066699267	5964	0.2778010715117633	2.4476308214102307	0.7140362529648991	False
ENSMUSG00000031537	0.0035676511591619	0.0128373701324634	0.120620203871119	1774.7186757506	5965	0.27784765897973446	2.447617617036256	0.7139897097700832	False
ENSMUSG00000052387	0.0035678631421912	0.0128373701324634	-0.15725078324086	4071.4499620419	5966	0.27789424644770555	2.4475918128528376	0.7139432085744014	False
ENSMUSG00000018678	0.0035748967474995	0.0128605218002053	0.181614684785677	847.368748640236	5967	0.2779408339156767	2.446736497258364	0.7138994724015646	False
