contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0031349	positive regulation of defense response	0.0067918974135861175	478	736	33	25907	['GO:0006952', 'GO:0031347', 'GO:0048584']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0008285	negative regulation of cell population proliferation	0.00681760721343586	685	736	42	25907	['GO:0008283', 'GO:0042127', 'GO:0048523']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0014858	positive regulation of skeletal muscle cell proliferation	0.007177672509452294	5	736	4	25907	['GO:0008284', 'GO:0014856', 'GO:0014857']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.007294574408298172	593	736	38	25907	['GO:0019941']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0038179	neurotrophin signaling pathway	0.007589489602688857	44	736	9	25907	['GO:0007166', 'GO:0071363']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051222	positive regulation of protein transport	0.007948411514825272	291	736	24	25907	['GO:0015031', 'GO:0051050', 'GO:0051223', 'GO:1904951']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007610	behavior	0.008033867597547224	786	736	46	25907	['GO:0032501']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0033002	muscle cell proliferation	0.008334693392494454	272	736	23	25907	['GO:0008283']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	KEGG	KEGG:04931	Insulin resistance	0.008398095080195636	109	362	14	9330	['KEGG:00000']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051603	proteolysis involved in protein catabolic process	0.008693938682660931	764	736	45	25907	['GO:0006508', 'GO:0030163']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0061564	axon development	0.008922223482014683	552	736	36	25907	['GO:0031175']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0014812	muscle cell migration	0.00931365877538411	129	736	15	25907	['GO:0016477']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0034620	cellular response to unfolded protein	0.00998764940912958	84	736	12	25907	['GO:0006986', 'GO:0035967']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0014909	smooth muscle cell migration	0.0101822569188452	114	736	14	25907	['GO:0014812']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0010817	regulation of hormone levels	0.010578291948376992	626	736	39	25907	['GO:0065008']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006417	regulation of translation	0.010788323659323302	358	736	27	25907	['GO:0006412', 'GO:0010608', 'GO:0051246']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0031334	positive regulation of protein-containing complex assembly	0.010883461952861242	200	736	19	25907	['GO:0043254', 'GO:0044089', 'GO:0051130', 'GO:0065003']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0014912	negative regulation of smooth muscle cell migration	0.011074093436004724	35	736	8	25907	['GO:0014909', 'GO:0014910', 'GO:0030336']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0046847	filopodium assembly	0.011145067295959382	71	736	11	25907	['GO:0120031']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0019941	modification-dependent protein catabolic process	0.011606945810857125	605	736	38	25907	['GO:0043632', 'GO:0051603']
