contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC < 0)	GO:BP	GO:0099171	presynaptic modulation of chemical synaptic transmission	0.0015176828429238605	60	72	5	25907	['GO:0050804']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC < 0)	GO:BP	GO:0023051	regulation of signaling	0.011971376014917589	3558	72	25	25907	['GO:0023052', 'GO:0050789']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC < 0)	GO:BP	GO:0010646	regulation of cell communication	0.012093313388243033	3560	72	25	25907	['GO:0007154', 'GO:0050794']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC < 0)	GO:BP	GO:0009966	regulation of signal transduction	0.020224980200659208	2940	72	22	25907	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC < 0)	GO:BP	GO:1902531	regulation of intracellular signal transduction	0.021632468911685073	1858	72	17	25907	['GO:0009966', 'GO:0035556']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC < 0)	KEGG	KEGG:04960	Aldosterone-regulated sodium reabsorption	0.024525992271174888	38	34	3	9330	['KEGG:00000']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC < 0)	KEGG	KEGG:04725	Cholinergic synapse	0.04959326644989775	112	34	4	9330	['KEGG:00000']
