source_gene_symbol	source_log2fc_control	source_padj_control	source_log2fc_cko	source_padj_cko	source_rss_shift	source_symbol_norm	source_rss_sign	source_rss_abs_ge_0_3	matched_our_tested_universe	significant_wt_side	significant_cko_side	present_wt_bendpoint	present_cko_bendpoint	present_shared_bendpoint	present_wt_only_bendpoint	present_cko_only_bendpoint	direction_consistent_with_source_rss	appears_in_retained_go_terms	appears_in_anchor_gene_table	analysis_membership	selected_wt_source_constrained_bendpoint	selected_cko_source_constrained_bendpoint	selected_shared_source_constrained_bendpoint	selected_wt_only_source_constrained_bendpoint	selected_cko_only_source_constrained_bendpoint	source_constrained_membership
ZNRF4	1.62386391121694	0.167774331436108	3.80808564111552	0.00524010129025288	2.1842217298985798	ZNRF4	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
RIMBP3	-0.574216561730021	0.314943592808221	1.57221419717925	0.00119683318239692	2.146430758909271	RIMBP3	positive	True	True	False	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
CYP24A1	2.98286870247029	6.50561107275208e-06	5.09568259355572	4.00258791235584e-07	2.1128138910854304	CYP24A1	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
FFAR3	2.52127376401421	9.39362081760159e-05	4.62500156004977	4.15474111098411e-06	2.1037277960355603	FFAR3	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
GM44196	-0.246125209878212	0.843185533695811	1.77513657990222	0.049985989359426	2.021261789780432	GM44196	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM43264	0.145298744537161	0.9107088477461	2.14647082426188	0.0286482143967269	2.0011720797247188	GM43264	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
9230109A22RIK	-0.0306270745001315	0.971773623909409	1.92866224249271	0.000105090770348996	1.9592893169928416	9230109A22RIK	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
IL23A	-0.425971205792493	0.626090904336548	1.53193531218342	0.0274961769776646	1.957906517975913	IL23A	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
UCN2	0.981093935386937	0.263443643807314	2.89953331758416	0.0012530152566893	1.9184393821972232	UCN2	positive	True	True	False	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
CRYGA	-1.77950554717313	0.0369723370932711	0.0918952128283407	0.940878054460739	1.8714007600014708	CRYGA	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
