branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
cKO/CRE	up	GO:0010605	negative regulation of macromolecule metabolic process	6	Ankrd1, ENSMUSG00000030223, Il6, Serpine1, Slamf1, Ucn	138
WT/FF	up	GO:0051252	regulation of RNA metabolic process	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	133
WT/FF	up	GO:0006351	DNA-templated transcription	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	126
WT/FF	up	GO:2001141	regulation of RNA biosynthetic process	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	125
WT/FF	up	GO:0006355	regulation of DNA-templated transcription	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	124
WT/FF	up	GO:0006357	regulation of transcription by RNA polymerase II	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	108
WT/FF	up	GO:0006366	transcription by RNA polymerase II	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	108
cKO/CRE	up	GO:0043067	regulation of programmed cell death	6	Ankrd1, Grp, Il6, Plaur, Serpine1, Ucn	107
cKO/CRE	up	GO:1902531	regulation of intracellular signal transduction	6	Ankrd1, Dusp9, Il6, Plaur, Slamf1, Ucn	107
cKO/CRE	up	GO:0042981	regulation of apoptotic process	6	Ankrd1, Grp, Il6, Plaur, Serpine1, Ucn	105
WT/FF	up	GO:0009719	response to endogenous stimulus	6	Ankrd1, Cited2, Fgf3, Il6, Ucn, Vgf	90
cKO/CRE	up	GO:0009967	positive regulation of signal transduction	6	Ankrd1, Grp, Il6, Plaur, Slamf1, Ucn	90
WT/FF	up	GO:0071705	nitrogen compound transport	6	Ankrd1, Cckbr, Grp, Il6, Ucn, Vgf	88
WT/FF	up	GO:0009968	negative regulation of signal transduction	6	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b	84
WT/FF	up	GO:0006955	immune response	6	Bpifc, Grp, Il6, Krt6a, Sectm1b, Slamf1	79
WT/FF	up	GO:0080134	regulation of response to stress	6	Ankrd1, Cckbr, Grp, Plaur, Serpine1, Ucn	69
cKO/CRE	up	GO:0051050	positive regulation of transport	6	Ankrd1, Cckbr, Grp, Il6, Serpine1, Ucn	69
WT/FF	up	GO:0010628	positive regulation of gene expression	6	Adm2, Cited2, Il6, Serpine1, Slamf1, Ucn	66
WT/FF	up	GO:0009628	response to abiotic stimulus	6	Ankrd1, Cited2, Clca1, Gpr151, Ucn, Vgf	59
WT/FF	up	GO:0051050	positive regulation of transport	6	Ankrd1, Cckbr, Grp, Il6, Serpine1, Ucn	58
WT/FF	up	GO:0009887	animal organ morphogenesis	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Serpine1	50
cKO/CRE	up	GO:0007610	behavior	6	Adm2, Cckbr, Grp, Il6, Rin1, Ucn	46
cKO/CRE	up	GO:0030855	epithelial cell differentiation	6	2210017I01Rik, ENSMUSG00000030223, Krt6a, Lce1g, Plaur, Serpine1	46
cKO/CRE	up	GO:0051046	regulation of secretion	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	46
cKO/CRE	up	GO:1903530	regulation of secretion by cell	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	45
WT/FF	up	GO:0051046	regulation of secretion	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	41
WT/FF	up	GO:0007610	behavior	6	Adm2, Cckbr, Grp, Il6, Rin1, Ucn	40
WT/FF	up	GO:1903530	regulation of secretion by cell	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	40
cKO/CRE	up	GO:0009611	response to wounding	6	ENSMUSG00000061947, Il6, Krt6a, Plaur, Procr, Serpine1	40
cKO/CRE	up	GO:0010817	regulation of hormone levels	6	Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf	39
WT/FF	up	GO:0023061	signal release	6	Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	37
WT/FF	up	GO:0009611	response to wounding	6	Angptl2, Il6, Krt6a, Plaur, Procr, Serpine1	33
cKO/CRE	up	GO:0009914	hormone transport	6	Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf	29
cKO/CRE	up	GO:0007399	nervous system development	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	155
cKO/CRE	up	GO:0006793	phosphorus metabolic process	5	Dusp9, ENSMUSG00000030223, Il6, Plppr4, Ucn	145
cKO/CRE	up	GO:0006796	phosphate-containing compound metabolic process	5	Dusp9, ENSMUSG00000030223, Il6, Plppr4, Ucn	145
WT/FF	up	GO:0051641	cellular localization	5	Ankrd1, Gpr151, Grp, Il6, Vgf	143
WT/FF	up	GO:0050793	regulation of developmental process	5	Adm2, Cited2, Fgf3, Il6, Serpine1	126
WT/FF	up	GO:0033036	macromolecule localization	5	Ankrd1, Il6, Plppr4, Slc10a6, Vgf	124
cKO/CRE	up	GO:0022008	neurogenesis	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	123
cKO/CRE	up	GO:0009890	negative regulation of biosynthetic process	5	Ankrd1, Il6, Serpine1, Slamf1, Ucn	121
cKO/CRE	up	GO:0010558	negative regulation of macromolecule biosynthetic process	5	Ankrd1, Il6, Serpine1, Slamf1, Ucn	117
cKO/CRE	up	GO:0051246	regulation of protein metabolic process	5	ENSMUSG00000030223, Il6, Plaur, Serpine1, Ucn	116
cKO/CRE	up	GO:0008283	cell population proliferation	5	Cckbr, ENSMUSG00000067006, Fgf3, Il6, Slamf1	113
cKO/CRE	up	GO:0141124	intracellular signaling cassette	5	Cckbr, Dusp9, Il6, Slamf1, Ucn	111
cKO/CRE	up	GO:1901700	response to oxygen-containing compound	5	Ankrd1, Il6, Serpine1, Ucn, Vgf	106
cKO/CRE	up	GO:0009719	response to endogenous stimulus	5	Ankrd1, Fgf3, Il6, Ucn, Vgf	105
WT/FF	up	GO:0022008	neurogenesis	5	Ankrd1, Il6, Plppr4, Satb2, Ucn	103
cKO/CRE	up	GO:0048699	generation of neurons	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	103
cKO/CRE	up	GO:0030030	cell projection organization	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	102
cKO/CRE	up	GO:0030182	neuron differentiation	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	102
cKO/CRE	up	GO:0120036	plasma membrane bounded cell projection organization	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	102
WT/FF	up	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	5	Ankrd1, Cited2, Il6, Satb2, Ucn	101
WT/FF	up	GO:0008283	cell population proliferation	5	Cckbr, Cited2, Fgf3, Il6, Slamf1	100
WT/FF	up	GO:0141124	intracellular signaling cassette	5	Cckbr, Dusp9, Il6, Slamf1, Ucn	99
WT/FF	up	GO:0051254	positive regulation of RNA metabolic process	5	Ankrd1, Cited2, Il6, Satb2, Ucn	92
cKO/CRE	up	GO:0016192	vesicle-mediated transport	5	Gpr151, Grp, Rin1, Serpine1, Slamf1	92
cKO/CRE	up	GO:0042127	regulation of cell population proliferation	5	Cckbr, ENSMUSG00000067006, Fgf3, Il6, Slamf1	91
WT/FF	up	GO:0048870	cell motility	5	Cited2, Satb2, Serpine1, Slamf1, Zpld2	90
WT/FF	up	GO:0016477	cell migration	5	Cited2, Satb2, Serpine1, Slamf1, Zpld2	89
WT/FF	up	GO:1901700	response to oxygen-containing compound	5	Ankrd1, Il6, Serpine1, Ucn, Vgf	89
WT/FF	up	GO:1902680	positive regulation of RNA biosynthetic process	5	Ankrd1, Cited2, Il6, Satb2, Ucn	87
WT/FF	up	GO:0045893	positive regulation of DNA-templated transcription	5	Ankrd1, Cited2, Il6, Satb2, Ucn	86
WT/FF	up	GO:0048699	generation of neurons	5	Ankrd1, Il6, Plppr4, Satb2, Ucn	85
cKO/CRE	up	GO:0048666	neuron development	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	84
WT/FF	up	GO:0042127	regulation of cell population proliferation	5	Cckbr, Cited2, Fgf3, Il6, Slamf1	82
cKO/CRE	up	GO:0031175	neuron projection development	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	79
cKO/CRE	up	GO:0055085	transmembrane transport	5	Clca1, ENSMUSG00000038115, Grp, Kcnk16, Slc10a6	76
cKO/CRE	up	GO:0010628	positive regulation of gene expression	5	Adm2, Il6, Serpine1, Slamf1, Ucn	74
WT/FF	up	GO:0016192	vesicle-mediated transport	5	Gpr151, Grp, Rin1, Serpine1, Slamf1	70
cKO/CRE	up	GO:0009628	response to abiotic stimulus	5	Ankrd1, Clca1, Gpr151, Ucn, Vgf	67
WT/FF	up	GO:0043069	negative regulation of programmed cell death	5	Cited2, Il6, Plaur, Serpine1, Ucn	66
WT/FF	up	GO:0007155	cell adhesion	5	Cited2, Il6, Plaur, Serpine1, Slamf1	64
WT/FF	up	GO:0043066	negative regulation of apoptotic process	5	Cited2, Il6, Plaur, Serpine1, Ucn	64
cKO/CRE	up	GO:0031347	regulation of defense response	5	Cckbr, ENSMUSG00000025279, Grp, Serpine1, Ucn	58
WT/FF	up	GO:0072359	circulatory system development	5	Adm2, Ankrd1, Cited2, Fgf3, Serpine1	56
WT/FF	up	GO:1902533	positive regulation of intracellular signal transduction	5	Ankrd1, Cited2, Il6, Slamf1, Ucn	56
WT/FF	up	GO:0030155	regulation of cell adhesion	5	Cited2, Il6, Plaur, Serpine1, Slamf1	43
WT/FF	up	GO:0030855	epithelial cell differentiation	5	2210017I01Rik, Krt6a, Lce1g, Plaur, Serpine1	39
WT/FF	up	GO:0010817	regulation of hormone levels	5	Cckbr, Grp, Il6, Ucn, Vgf	34
WT/FF	up	GO:0009914	hormone transport	5	Cckbr, Grp, Il6, Ucn, Vgf	27
WT/FF	up	GO:0046879	hormone secretion	5	Cckbr, Grp, Il6, Ucn, Vgf	25
WT/FF	up	GO:0002790	peptide secretion	5	Cckbr, Grp, Il6, Ucn, Vgf	21
cKO/CRE	up	GO:0050793	regulation of developmental process	4	Adm2, Fgf3, Il6, Serpine1	155
cKO/CRE	up	GO:0043412	macromolecule modification	4	Dusp9, ENSMUSG00000030223, Il6, Ucn	154
cKO/CRE	up	GO:0036211	protein modification process	4	Dusp9, ENSMUSG00000030223, Il6, Ucn	149
cKO/CRE	up	GO:0070727	cellular macromolecule localization	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	149
cKO/CRE	up	GO:0008104	protein localization	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	146
cKO/CRE	up	GO:0051649	establishment of localization in cell	4	ENSMUSG00000038115, Gpr151, Grp, Il6	123
WT/FF	up	GO:0006793	phosphorus metabolic process	4	Dusp9, Il6, Plppr4, Ucn	110
WT/FF	up	GO:0006796	phosphate-containing compound metabolic process	4	Dusp9, Il6, Plppr4, Ucn	110
cKO/CRE	up	GO:0045184	establishment of protein localization	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	107
cKO/CRE	up	GO:0048870	cell motility	4	ENSMUSG00000030223, Serpine1, Slamf1, Zpld2	107
cKO/CRE	up	GO:0016477	cell migration	4	ENSMUSG00000030223, Serpine1, Slamf1, Zpld2	106
cKO/CRE	up	GO:0002682	regulation of immune system process	4	ENSMUSG00000025279, Il6, Serpine1, Slamf1	93
cKO/CRE	up	GO:0015031	protein transport	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	92
WT/FF	up	GO:0051246	regulation of protein metabolic process	4	Il6, Plaur, Serpine1, Ucn	86
WT/FF	up	GO:0030182	neuron differentiation	4	Ankrd1, Il6, Plppr4, Ucn	83
WT/FF	up	GO:0051094	positive regulation of developmental process	4	Adm2, Cited2, Il6, Serpine1	80
WT/FF	up	GO:0030030	cell projection organization	4	Ankrd1, Il6, Plppr4, Ucn	79
WT/FF	up	GO:0120036	plasma membrane bounded cell projection organization	4	Ankrd1, Il6, Plppr4, Ucn	79
cKO/CRE	up	GO:0006508	proteolysis	4	Clca1, Ecel1, Plaur, Serpine1	79
WT/FF	up	GO:2000026	regulation of multicellular organismal development	4	Adm2, Cited2, Il6, Serpine1	78
cKO/CRE	up	GO:0051130	positive regulation of cellular component organization	4	Ankrd1, Il6, Plaur, Serpine1	77
cKO/CRE	up	GO:0007155	cell adhesion	4	Il6, Plaur, Serpine1, Slamf1	75
cKO/CRE	up	GO:0032101	regulation of response to external stimulus	4	ENSMUSG00000025279, Plaur, Serpine1, Slamf1	73
cKO/CRE	up	GO:0043069	negative regulation of programmed cell death	4	Il6, Plaur, Serpine1, Ucn	73
cKO/CRE	up	GO:0072359	circulatory system development	4	Adm2, Ankrd1, Fgf3, Serpine1	73
WT/FF	up	GO:0045944	positive regulation of transcription by RNA polymerase II	4	Cited2, Il6, Satb2, Ucn	71
cKO/CRE	up	GO:0043066	negative regulation of apoptotic process	4	Il6, Plaur, Serpine1, Ucn	71
WT/FF	up	GO:0071495	cellular response to endogenous stimulus	4	Ankrd1, Cited2, Fgf3, Il6	69
WT/FF	up	GO:0042592	homeostatic process	4	Cckbr, Cited2, Il6, Vgf	68
WT/FF	up	GO:0048666	neuron development	4	Ankrd1, Il6, Plppr4, Ucn	67
WT/FF	up	GO:0055085	transmembrane transport	4	Clca1, Grp, Kcnk16, Slc10a6	65
cKO/CRE	up	GO:0140546	defense response to symbiont	4	Bpifc, ENSMUSG00000076434, Krt6a, Slamf1	65
cKO/CRE	up	GO:1902533	positive regulation of intracellular signal transduction	4	Ankrd1, Il6, Slamf1, Ucn	63
WT/FF	up	GO:0031175	neuron projection development	4	Ankrd1, Il6, Plppr4, Ucn	62
WT/FF	up	GO:0048646	anatomical structure formation involved in morphogenesis	4	Adm2, Cited2, Serpine1, Tm4sf1	58
WT/FF	up	GO:0051130	positive regulation of cellular component organization	4	Ankrd1, Il6, Plaur, Serpine1	58
WT/FF	up	GO:0009790	embryo development	4	Cited2, Hmx3, Satb2, Tm4sf1	56
WT/FF	up	GO:0035295	tube development	4	Adm2, Cckbr, Cited2, Serpine1	56
cKO/CRE	up	GO:0006954	inflammatory response	4	ENSMUSG00000025279, Il6, Serpine1, Slamf1	56
WT/FF	up	GO:0051093	negative regulation of developmental process	4	Cited2, Fgf3, Il6, Serpine1	55
WT/FF	up	GO:0022603	regulation of anatomical structure morphogenesis	4	Adm2, Cited2, Il6, Serpine1	54
WT/FF	up	GO:0070848	response to growth factor	4	Ankrd1, Cited2, Fgf3, Il6	53
WT/FF	up	GO:0033993	response to lipid	4	Ankrd1, Il6, Serpine1, Ucn	52
WT/FF	up	GO:0071363	cellular response to growth factor stimulus	4	Ankrd1, Cited2, Fgf3, Il6	51
cKO/CRE	up	GO:0030155	regulation of cell adhesion	4	Il6, Plaur, Serpine1, Slamf1	51
cKO/CRE	up	GO:0001816	cytokine production	4	Il6, Serpine1, Slamf1, Ucn	50
cKO/CRE	up	GO:0001817	regulation of cytokine production	4	Il6, Serpine1, Slamf1, Ucn	50
WT/FF	up	GO:0008284	positive regulation of cell population proliferation	4	Cckbr, Fgf3, Il6, Slamf1	48
WT/FF	up	GO:0001816	cytokine production	4	Il6, Serpine1, Slamf1, Ucn	47
WT/FF	up	GO:0001817	regulation of cytokine production	4	Il6, Serpine1, Slamf1, Ucn	47
WT/FF	up	GO:0031347	regulation of defense response	4	Cckbr, Grp, Serpine1, Ucn	46
cKO/CRE	up	GO:0000165	MAPK cascade	4	Cckbr, Dusp9, Il6, Slamf1	46
WT/FF	up	GO:0000165	MAPK cascade	4	Cckbr, Dusp9, Il6, Slamf1	41
cKO/CRE	up	GO:0048729	tissue morphogenesis	4	Ankrd1, ENSMUSG00000067006, Il6, Krt6a	40
WT/FF	up	GO:0061061	muscle structure development	4	Ankrd1, Cited2, Fgf3, Il6	39
cKO/CRE	up	GO:0001819	positive regulation of cytokine production	4	Il6, Serpine1, Slamf1, Ucn	35
WT/FF	up	GO:0001819	positive regulation of cytokine production	4	Il6, Serpine1, Slamf1, Ucn	33
cKO/CRE	up	GO:0031349	positive regulation of defense response	4	Cckbr, Grp, Serpine1, Ucn	33
WT/FF	up	GO:0031349	positive regulation of defense response	4	Cckbr, Grp, Serpine1, Ucn	29
cKO/CRE	up	GO:0009306	protein secretion	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	29
cKO/CRE	up	GO:0035592	establishment of protein localization to extracellular region	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	29
cKO/CRE	up	GO:0051047	positive regulation of secretion	4	Ankrd1, Cckbr, Grp, Ucn	29
cKO/CRE	up	GO:0071692	protein localization to extracellular region	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	29
cKO/CRE	up	GO:1903532	positive regulation of secretion by cell	4	Ankrd1, Cckbr, Grp, Ucn	28
WT/FF	up	GO:0051047	positive regulation of secretion	4	Ankrd1, Cckbr, Grp, Ucn	27
WT/FF	up	GO:1903532	positive regulation of secretion by cell	4	Ankrd1, Cckbr, Grp, Ucn	26
WT/FF	up	GO:0046883	regulation of hormone secretion	4	Cckbr, Grp, Il6, Ucn	21
cKO/CRE	up	GO:0019219	regulation of nucleobase-containing compound metabolic process	3	Ankrd1, Il6, Ucn	174
cKO/CRE	up	GO:0051252	regulation of RNA metabolic process	3	Ankrd1, Il6, Ucn	161
cKO/CRE	up	GO:0006996	organelle organization	3	Krt6a, Plaur, Slamf1	159
cKO/CRE	up	GO:0006351	DNA-templated transcription	3	Ankrd1, Il6, Ucn	149
cKO/CRE	up	GO:2001141	regulation of RNA biosynthetic process	3	Ankrd1, Il6, Ucn	147
cKO/CRE	up	GO:0006355	regulation of DNA-templated transcription	3	Ankrd1, Il6, Ucn	146
cKO/CRE	up	GO:0006366	transcription by RNA polymerase II	3	Ankrd1, Il6, Ucn	126
cKO/CRE	up	GO:0006357	regulation of transcription by RNA polymerase II	3	Ankrd1, Il6, Ucn	125
WT/FF	up	GO:0006996	organelle organization	3	Krt6a, Plaur, Slamf1	122
WT/FF	up	GO:0043412	macromolecule modification	3	Dusp9, Il6, Ucn	116
cKO/CRE	up	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	3	Ankrd1, Il6, Ucn	113
WT/FF	up	GO:0036211	protein modification process	3	Dusp9, Il6, Ucn	112
WT/FF	up	GO:0070727	cellular macromolecule localization	3	Ankrd1, Il6, Vgf	108
WT/FF	up	GO:0008104	protein localization	3	Ankrd1, Il6, Vgf	107
cKO/CRE	up	GO:0051254	positive regulation of RNA metabolic process	3	Ankrd1, Il6, Ucn	105
cKO/CRE	up	GO:0045893	positive regulation of DNA-templated transcription	3	Ankrd1, Il6, Ucn	100
cKO/CRE	up	GO:1902680	positive regulation of RNA biosynthetic process	3	Ankrd1, Il6, Ucn	100
cKO/CRE	up	GO:0016310	phosphorylation	3	ENSMUSG00000030223, Il6, Ucn	95
cKO/CRE	up	GO:0051094	positive regulation of developmental process	3	Adm2, Il6, Serpine1	91
WT/FF	up	GO:0051649	establishment of localization in cell	3	Gpr151, Grp, Il6	90
cKO/CRE	up	GO:0006468	protein phosphorylation	3	ENSMUSG00000030223, Il6, Ucn	89
cKO/CRE	up	GO:0042592	homeostatic process	3	Cckbr, Il6, Vgf	89
cKO/CRE	up	GO:2000026	regulation of multicellular organismal development	3	Adm2, Il6, Serpine1	87
WT/FF	up	GO:0033554	cellular response to stress	3	Ankrd1, Cited2, Clca1	85
cKO/CRE	up	GO:0040011	locomotion	3	ENSMUSG00000030223, Serpine1, Slamf1	84
cKO/CRE	up	GO:0071495	cellular response to endogenous stimulus	3	Ankrd1, Fgf3, Il6	83
WT/FF	up	GO:0002682	regulation of immune system process	3	Il6, Serpine1, Slamf1	77
WT/FF	up	GO:0045184	establishment of protein localization	3	Ankrd1, Il6, Vgf	76
cKO/CRE	up	GO:1901701	cellular response to oxygen-containing compound	3	Ankrd1, Il6, Serpine1	75
WT/FF	up	GO:0015031	protein transport	3	Ankrd1, Il6, Vgf	69
WT/FF	up	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	3	Ankrd1, Cited2, Satb2	69
WT/FF	up	GO:0040011	locomotion	3	Cited2, Serpine1, Slamf1	67
cKO/CRE	up	GO:0035295	tube development	3	Adm2, Cckbr, Serpine1	67
cKO/CRE	up	GO:0022603	regulation of anatomical structure morphogenesis	3	Adm2, Il6, Serpine1	66
cKO/CRE	up	GO:0019220	regulation of phosphate metabolic process	3	ENSMUSG00000030223, Il6, Ucn	65
cKO/CRE	up	GO:0031399	regulation of protein modification process	3	ENSMUSG00000030223, Il6, Ucn	65
cKO/CRE	up	GO:0051174	regulation of phosphorus metabolic process	3	ENSMUSG00000030223, Il6, Ucn	65
cKO/CRE	up	GO:0002684	positive regulation of immune system process	3	Il6, Serpine1, Slamf1	64
cKO/CRE	up	GO:0098657	import into cell	3	Rin1, Serpine1, Slamf1	64
WT/FF	up	GO:0040012	regulation of locomotion	3	Cited2, Serpine1, Slamf1	63
WT/FF	up	GO:0051253	negative regulation of RNA metabolic process	3	Ankrd1, Cited2, Satb2	63
cKO/CRE	up	GO:0045087	innate immune response	3	Bpifc, ENSMUSG00000076434, Slamf1	63
cKO/CRE	up	GO:0070848	response to growth factor	3	Ankrd1, Fgf3, Il6	63
WT/FF	up	GO:1901701	cellular response to oxygen-containing compound	3	Ankrd1, Il6, Serpine1	62
cKO/CRE	up	GO:0000902	cell morphogenesis	3	ENSMUSG00000030223, Il6, Plppr4	62
WT/FF	up	GO:2000145	regulation of cell motility	3	Cited2, Serpine1, Slamf1	61
cKO/CRE	up	GO:0071363	cellular response to growth factor stimulus	3	Ankrd1, Fgf3, Il6	61
WT/FF	up	GO:0045892	negative regulation of DNA-templated transcription	3	Ankrd1, Cited2, Satb2	60
WT/FF	up	GO:1902679	negative regulation of RNA biosynthetic process	3	Ankrd1, Cited2, Satb2	60
WT/FF	up	GO:0007167	enzyme-linked receptor protein signaling pathway	3	Cited2, Fgf3, Plaur	59
WT/FF	up	GO:0030334	regulation of cell migration	3	Cited2, Serpine1, Slamf1	59
WT/FF	up	GO:0032101	regulation of response to external stimulus	3	Plaur, Serpine1, Slamf1	59
cKO/CRE	up	GO:0042325	regulation of phosphorylation	3	ENSMUSG00000030223, Il6, Ucn	59
cKO/CRE	up	GO:0051093	negative regulation of developmental process	3	Fgf3, Il6, Serpine1	59
cKO/CRE	up	GO:0001932	regulation of protein phosphorylation	3	ENSMUSG00000030223, Il6, Ucn	58
WT/FF	up	GO:0098657	import into cell	3	Rin1, Serpine1, Slamf1	52
WT/FF	up	GO:0002684	positive regulation of immune system process	3	Il6, Serpine1, Slamf1	51
WT/FF	up	GO:0140546	defense response to symbiont	3	Bpifc, Krt6a, Slamf1	51
WT/FF	up	GO:0001775	cell activation	3	Grp, Il6, Slamf1	48
WT/FF	up	GO:0009725	response to hormone	3	Cited2, Ucn, Vgf	48
cKO/CRE	up	GO:0006897	endocytosis	3	Rin1, Serpine1, Slamf1	48
WT/FF	up	GO:0000122	negative regulation of transcription by RNA polymerase II	3	Ankrd1, Cited2, Satb2	47
WT/FF	up	GO:0006954	inflammatory response	3	Il6, Serpine1, Slamf1	47
WT/FF	up	GO:0030097	hemopoiesis	3	Cited2, Il6, Slamf1	46
WT/FF	up	GO:0035239	tube morphogenesis	3	Adm2, Cited2, Serpine1	45
cKO/CRE	up	GO:0060627	regulation of vesicle-mediated transport	3	Gpr151, Serpine1, Slamf1	42
WT/FF	up	GO:0001944	vasculature development	3	Adm2, Cited2, Serpine1	39
WT/FF	up	GO:0006897	endocytosis	3	Rin1, Serpine1, Slamf1	39
WT/FF	up	GO:0001568	blood vessel development	3	Adm2, Cited2, Serpine1	38
cKO/CRE	up	GO:0043408	regulation of MAPK cascade	3	Dusp9, Il6, Slamf1	38
WT/FF	up	GO:0048598	embryonic morphogenesis	3	Cited2, Hmx3, Satb2	37
WT/FF	up	GO:0048514	blood vessel morphogenesis	3	Adm2, Cited2, Serpine1	34
WT/FF	up	GO:0043408	regulation of MAPK cascade	3	Dusp9, Il6, Slamf1	33
WT/FF	up	GO:0060627	regulation of vesicle-mediated transport	3	Gpr151, Serpine1, Slamf1	33
cKO/CRE	up	GO:0016055	Wnt signaling pathway	3	ENSMUSG00000030223, Krt6a, Tmem88b	30
WT/FF	up	GO:0002237	response to molecule of bacterial origin	3	Ankrd1, Il6, Serpine1	28
WT/FF	up	GO:0032496	response to lipopolysaccharide	3	Ankrd1, Il6, Serpine1	28
WT/FF	up	GO:0048568	embryonic organ development	3	Cited2, Hmx3, Satb2	28
WT/FF	up	GO:0051051	negative regulation of transport	3	Grp, Il6, Ucn	27
WT/FF	up	GO:0009306	protein secretion	3	Ankrd1, Il6, Vgf	26
WT/FF	up	GO:0035592	establishment of protein localization to extracellular region	3	Ankrd1, Il6, Vgf	26
WT/FF	up	GO:0071692	protein localization to extracellular region	3	Ankrd1, Il6, Vgf	26
cKO/CRE	up	GO:0071216	cellular response to biotic stimulus	3	Ankrd1, Il6, Serpine1	26
cKO/CRE	up	GO:0043588	skin development	3	2210017I01Rik, Krt6a, Lce1g	24
WT/FF	up	GO:0071216	cellular response to biotic stimulus	3	Ankrd1, Il6, Serpine1	22
WT/FF	up	GO:0071219	cellular response to molecule of bacterial origin	3	Ankrd1, Il6, Serpine1	21
WT/FF	up	GO:0071222	cellular response to lipopolysaccharide	3	Ankrd1, Il6, Serpine1	21
cKO/CRE	up	GO:0033554	cellular response to stress	2	Ankrd1, Clca1	105
cKO/CRE	up	GO:0045595	regulation of cell differentiation	2	Il6, Serpine1	96
WT/FF	up	GO:0045595	regulation of cell differentiation	2	Il6, Serpine1	86
cKO/CRE	up	GO:0045944	positive regulation of transcription by RNA polymerase II	2	Il6, Ucn	83
cKO/CRE	up	GO:0040012	regulation of locomotion	2	Serpine1, Slamf1	78
cKO/CRE	up	GO:2000145	regulation of cell motility	2	Serpine1, Slamf1	76
cKO/CRE	up	GO:0030334	regulation of cell migration	2	Serpine1, Slamf1	74
cKO/CRE	up	GO:0060341	regulation of cellular localization	2	Ankrd1, Il6	74
WT/FF	up	GO:0016310	phosphorylation	2	Il6, Ucn	71
cKO/CRE	up	GO:0007167	enzyme-linked receptor protein signaling pathway	2	Fgf3, Plaur	71
cKO/CRE	up	GO:0032880	regulation of protein localization	2	Ankrd1, Il6	68
WT/FF	up	GO:0006468	protein phosphorylation	2	Il6, Ucn	67
cKO/CRE	up	GO:0048646	anatomical structure formation involved in morphogenesis	2	Adm2, Serpine1	67
WT/FF	up	GO:0060341	regulation of cellular localization	2	Ankrd1, Il6	61
cKO/CRE	up	GO:0051247	positive regulation of protein metabolic process	2	Il6, Ucn	60
cKO/CRE	up	GO:0050776	regulation of immune response	2	Il6, Slamf1	59
WT/FF	up	GO:1901652	response to peptide	2	Ankrd1, Il6	58
cKO/CRE	up	GO:0031344	regulation of cell projection organization	2	Ankrd1, Il6	58
cKO/CRE	up	GO:0045597	positive regulation of cell differentiation	2	Il6, Serpine1	58
WT/FF	up	GO:0034097	response to cytokine	2	Ankrd1, Il6	57
cKO/CRE	up	GO:0120035	regulation of plasma membrane bounded cell projection organization	2	Ankrd1, Il6	57
WT/FF	up	GO:0032880	regulation of protein localization	2	Ankrd1, Il6	56
cKO/CRE	up	GO:0035239	tube morphogenesis	2	Adm2, Serpine1	56
cKO/CRE	up	GO:0097190	apoptotic signaling pathway	2	Plaur, Serpine1	55
WT/FF	up	GO:0045597	positive regulation of cell differentiation	2	Il6, Serpine1	54
cKO/CRE	up	GO:0030097	hemopoiesis	2	Il6, Slamf1	54
cKO/CRE	up	GO:0001944	vasculature development	2	Adm2, Serpine1	53
cKO/CRE	up	GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	2	Fgf3, Plaur	53
