branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
WT/FF	up	GO:0023051	regulation of signaling	15	Ankrd1, Cckbr, Cited2, Dusp9, Gpr151, Grp, Il6, Plaur	173
WT/FF	up	GO:0010646	regulation of cell communication	15	Ankrd1, Cckbr, Cited2, Dusp9, Gpr151, Grp, Il6, Plaur	171
WT/FF	up	GO:0043170	macromolecule metabolic process	14	Adm2, Ankrd1, Cited2, Clca1, Dusp9, Ecel1, Grp, Hmx3	314
WT/FF	up	GO:0007275	multicellular organism development	14	Adm2, Ankrd1, Cckbr, Cited2, Fgf3, Hmx3, Il6, Plaur	204
WT/FF	up	GO:0030154	cell differentiation	14	2210017I01Rik, Ankrd1, Cited2, Fgf3, Hmx3, Il6, Krt6a, Lce1g	196
WT/FF	up	GO:0048869	cellular developmental process	14	2210017I01Rik, Ankrd1, Cited2, Fgf3, Hmx3, Il6, Krt6a, Lce1g	196
cKO/CRE	up	GO:0048513	animal organ development	14	2210017I01Rik, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6	174
WT/FF	up	GO:0048513	animal organ development	14	2210017I01Rik, Ankrd1, Cckbr, Cited2, Fgf3, Hmx3, Il6, Krt6a	142
cKO/CRE	up	GO:0009605	response to external stimulus	14	Ankrd1, Bpifc, Cd207, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000076434, Grp, Il6	138
cKO/CRE	up	GO:0043170	macromolecule metabolic process	13	Adm2, Ankrd1, Clca1, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Ecel1, Grp	401
cKO/CRE	up	GO:0007275	multicellular organism development	13	Adm2, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6	259
cKO/CRE	up	GO:0030154	cell differentiation	13	2210017I01Rik, Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Fgf3, Il6, Krt6a, Lce1g	242
cKO/CRE	up	GO:0048869	cellular developmental process	13	2210017I01Rik, Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Fgf3, Il6, Krt6a, Lce1g	242
WT/FF	up	GO:0048519	negative regulation of biological process	13	Ankrd1, Cited2, Dusp9, Fgf3, Grp, Il6, Plaur, Procr	241
cKO/CRE	up	GO:0048731	system development	13	Adm2, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6	233
WT/FF	up	GO:0048731	system development	13	Adm2, Ankrd1, Cckbr, Cited2, Fgf3, Hmx3, Il6, Plaur	185
WT/FF	up	GO:0065008	regulation of biological quality	13	Adm2, Angptl2, Cckbr, Grp, Il6, Kcnk16, Plaur, Plppr4	151
