source_gene_symbol	source_symbol_norm	gene_id	source_mapping_status	n_source_gene_ids	source_log2fc_control	source_log2fc_cko	source_rss_shift	source_rss_sign	our_log2fc_wt	our_log2fc_cko	our_delta_cko_minus_wt	our_delta_sign	matched_our_tested_universe	source_padj_control	source_padj_cko	our_padj_wt	our_padj_cko	significant_wt_side	significant_cko_side	present_wt_bendpoint	present_cko_bendpoint	present_shared_bendpoint	present_cko_only_bendpoint	present_wt_only_bendpoint	direction_consistent_with_source_rss	appears_in_retained_go_terms	appears_in_anchor_gene_table
1700094M23RIK	1700094M23RIK	ENSMUSG00000105337	unique_symbol	1	-0.775791043522353	-0.151714673066581	0.6240763704557719	positive	-1.37066098793629	-0.280671361782345	1.0899896261539452	positive	True	0.00010602898513185	0.580862933473166	0.0419168446684492	0.733336573988678	True	False	False	False	False	False	False	True	False	False
1700096J18RIK	1700096J18RIK	ENSMUSG00000099630	unique_symbol	1	0.507359607009575	0.0945497461438101	-0.41280986086576493	negative					False	0.0391133082574271	0.794625439095479			False	False	False	False	False	False	False	False	False	False
1810007D17RIK	1810007D17RIK	ENSMUSG00000100001	unique_symbol	1	0.19564339629553	0.541127940817686	0.34548454452215605	positive	0.0458373155827228	0.284845705362595	0.2390083897798722	positive	True	0.398001731397826	0.00277974851717959	0.93560013005971	0.526649883926137	False	False	False	False	False	False	False	True	False	False
1810044K17RIK	1810044K17RIK	ENSMUSG00000116846	unique_symbol	1	1.5420834601094	2.16033504663898	0.6182515865295801	positive					False	0.0255870751642166	0.00116081715418195			False	False	False	False	False	False	False	False	False	False
1810053B23RIK	1810053B23RIK	ENSMUSG00000100277	unique_symbol	1	1.29006466702216	1.80113216048715	0.5110674934649899	positive	1.23431333208214	2.18585334559997	0.9515400135178298	positive	True	0.0060530109579754	0.000164978956951184	0.0403271988401566	0.0002216262336149	True	True	False	False	False	False	False	True	False	False
2010008C14RIK	2010008C14RIK	ENSMUSG00000107761	unique_symbol	1	-0.461087691046097	-0.0918875319115075	0.3692001591345895	positive	-0.478843507794318	-0.15379190788222	0.325051599912098	positive	True	5.78159686870089e-05	0.574840550564151	1.29143207977852e-05	0.242137354124609	True	False	False	False	False	False	False	True	False	False
2210017I01RIK	2210017I01RIK	ENSMUSG00000103523	unique_symbol	1	3.14602799945508	3.46441057538157	0.3183825759264898	positive	3.49592765164031	3.79947011455554	0.3035424629152299	positive	True	5.92682693335466e-49	2.74091302605254e-48	3.87649083684948e-33	1.1762077002503198e-30	True	True	True	True	True	False	False	True	True	False
2210409E12RIK	2210409E12RIK	ENSMUSG00000081766	unique_symbol	1	4.66886054240707	3.23980107985541	-1.4290594625516597	negative					False	2.91635905288506e-06	6.12904766719039e-06			False	False	False	False	False	False	False	False	False	False
2310039L15RIK	2310039L15RIK	ENSMUSG00000100550	unique_symbol	1	0.224207733502998	0.579375402714634	0.35516766921163595	positive					False	0.00158852048201195	8.32941743831813e-19			False	False	False	False	False	False	False	False	False	False
2310040G24RIK	2310040G24RIK	ENSMUSG00000101655	unique_symbol	1	-0.265908541504429	-0.748965548356993	-0.48305700685256403	negative	-0.271843950581453	-0.761807683434948	-0.489963732853495	negative	True	0.577960357428399	0.0342345730150731	0.533712426790121	0.0274964711977572	False	True	False	False	False	False	False	True	False	False
2310065F04RIK	2310065F04RIK	ENSMUSG00000087410	unique_symbol	1	0.0432133785262647	-1.5137133371015	-1.5569267156277646	negative	0.104988341572934	-1.53827871260749	-1.643267054180424	negative	True	0.965093082045098	0.00584254640757942	0.905183238146304	0.0083110450047254	False	True	False	False	False	False	False	True	False	False
2410004I01RIK	2410004I01RIK	ENSMUSG00000085338	unique_symbol	1	1.30150884828268	0.82575446349406	-0.47575438478862	negative	1.44149276847756	0.864257156622099	-0.577235611855461	negative	True	0.0357737282589122	0.227831800954738	0.036549812998892	0.259317437674325	True	False	False	False	False	False	False	True	False	False
2410004P03RIK	2410004P03RIK	ENSMUSG00000071398	unique_symbol	1	1.73378864433745	-0.14210867827126	-1.87589732260871	negative	2.01866732881843	-0.528398302818374	-2.547065631636804	negative	True	0.0102833669718833	0.899354485614001	0.0224083161719431	0.649778949758687	True	False	False	False	False	False	False	True	False	False
2410012E07RIK	2410012E07RIK	ENSMUSG00000099528	unique_symbol	1	-0.541480161189492	-0.0195082624503524	0.5219718987391396	positive	-0.36172536822001	-0.142415773552036	0.219309594667974	positive	True	1.70566024106977e-05	0.929911791279131	0.387166430655851	0.751580379832995	False	False	False	False	False	False	False	True	False	False
2410022M11RIK	2410022M11RIK	ENSMUSG00000100017	unique_symbol	1	-0.0441970138974108	-0.363568835003088	-0.3193718211056772	negative	-0.0831380318515314	-0.366574446369607	-0.2834364145180756	negative	True	0.839120977594027	0.00505749830273671	0.683114139081778	0.0136721546789595	False	True	False	False	False	False	False	True	False	False
3425401B19RIK	3425401B19RIK	ENSMUSG00000071540	unique_symbol	1	-0.489604331236493	-1.25624594724962	-0.7666416160131269	negative	-0.493945392330685	-1.27200261903596	-0.7780572267052749	negative	True	0.0483950878925391	3.6009065621735e-09	0.066421056143455	4.91325903365088e-08	False	True	False	False	False	False	False	True	False	False
4732490B19RIK	4732490B19RIK	ENSMUSG00000085421	unique_symbol	1	1.21507166562325	2.95027130236531	1.73519963674206	positive	1.51568732026232	3.0552142266742	1.5395269064118802	positive	True	0.0323958699130776	1.3663193667465e-06	0.027471568775029	0.0001606975562127	True	True	False	False	False	False	False	True	False	False
4921513I03RIK	4921513I03RIK	ENSMUSG00000044544	unique_symbol	1	0.0527641282895418	-0.32570160741287	-0.3784657357024118	negative					False	0.688838602921763	8.6907898168344e-05			False	False	False	False	False	False	False	False	False	False
4921539H07RIK	4921539H07RIK	ENSMUSG00000104586	unique_symbol	1	-0.607776710943249	-1.2515615661567	-0.6437848552134509	negative					False	0.0465461183078759	1.00824912261822e-05			False	False	False	False	False	False	False	False	False	False
4930414F18RIK	4930414F18RIK	ENSMUSG00000116520	unique_symbol	1	1.18145308003006	2.68465313558264	1.5032000555525802	positive					False	0.166270135486043	0.00188454664015752			False	False	False	False	False	False	False	False	False	False
4930426L09RIK	4930426L09RIK	ENSMUSG00000026736	unique_symbol	1	-0.569180104165484	0.0233422347237491	0.5925223388892331	positive	-0.444901938752217	-0.0259683122729218	0.4189336264792952	positive	True	0.0385952382952771	0.957225220176505	0.188874908593523	0.953166378211752	False	False	False	False	False	False	False	True	False	False
4930438A08RIK	4930438A08RIK	ENSMUSG00000069873	unique_symbol	1	2.43704743969853	1.66473275342099	-0.7723146862775403	negative	2.44094799676261	1.7548489579746	-0.6860990387880102	negative	True	1.97185599727021e-06	0.00168850697339064	1.11388207826322e-05	0.0017961172326372	True	True	False	False	False	False	False	True	False	False
4930442G10RIK	4930442G10RIK	ENSMUSG00000113974	unique_symbol	1	-0.53569054096837	-0.91801870320899	-0.38232816224062005	negative					False	0.20318240557457	0.0108096932349794			False	False	False	False	False	False	False	False	False	False
4930447N08RIK	4930447N08RIK	ENSMUSG00000106583	unique_symbol	1	0.450034498622493	-0.857414300480408	-1.3074487991029011	negative					False	0.318551480889636	0.0162845602023486			False	False	False	False	False	False	False	False	False	False
4930448D08RIK	4930448D08RIK	ENSMUSG00000086824	unique_symbol	1	-0.694889583766975	0.0204628212443565	0.7153524050113315	positive	-0.811080980985009	0.120594353999742	0.9316753349847511	positive	True	0.00226485622746749	0.958464877364105	0.0103553142857869	0.781268087845507	True	False	False	False	False	False	False	True	False	False
4930455G09RIK	4930455G09RIK	ENSMUSG00000085761	unique_symbol	1	0.327847336060225	0.648554752422521	0.32070741636229605	positive	0.689325172559795	1.08018109629501	0.39085592373521505	positive	True	0.173659085839951	0.00226812868798518	0.0544773144184348	0.0020170700106623	False	True	False	False	False	False	False	True	False	False
4930456G14RIK	4930456G14RIK	ENSMUSG00000102985	unique_symbol	1	-0.792177256688452	-0.383809850839566	0.408367405848886	positive	-0.846325692712422	-0.471228666285434	0.375097026426988	positive	True	0.0317886465736274	0.373088239515384	0.0607386599365898	0.32058159455662	False	False	False	False	False	False	False	True	False	False
4930467J12RIK	4930467J12RIK	ENSMUSG00000114879	unique_symbol	1	3.47085952897027	2.19544068415513	-1.2754188448151402	negative					False	5.8181460889003e-08	5.19094139021727e-05			False	False	False	False	False	False	False	False	False	False
4930470H14RIK	4930470H14RIK	ENSMUSG00000116975	unique_symbol	1	-0.648312956371705	-0.198013231033353	0.45029972533835205	positive					False	0.0147594776166736	0.569496131326687			False	False	False	False	False	False	False	False	False	False
4930471C04RIK	4930471C04RIK	ENSMUSG00000091686	unique_symbol	1	1.92251896506999	2.30374633580223	0.3812273707322398	positive					False	0.054611642597848	0.0183325887886516			False	False	False	False	False	False	False	False	False	False
4930511P09RIK	4930511P09RIK	ENSMUSG00000122432	unique_symbol	1	-0.925147369843151	-1.68370914505348	-0.758561775210329	negative					False	0.342708989765111	0.0270500938404633			False	False	False	False	False	False	False	False	False	False
4930512H18RIK	4930512H18RIK	ENSMUSG00000086866	unique_symbol	1	1.63520505490878	1.30802531150578	-0.32717974340299993	negative	3.00229625321847	2.88795328084188	-0.11434297237659008	negative	True	0.000440731440095619	0.00452705979500888	0.0001163231255241	0.0001787724883392	True	True	False	False	False	False	False	True	False	False
4930515G01RIK	4930515G01RIK	ENSMUSG00000092183	unique_symbol	1	0.169825189843019	0.914291780009803	0.7444665901667841	positive	0.121306051290954	0.823437700974274	0.7021316496833201	positive	True	0.694016783579208	0.00245807110658776	0.812801872717066	0.0256106010353963	False	True	False	False	False	False	False	True	False	False
4930516K23RIK	4930516K23RIK	ENSMUSG00000109824	unique_symbol	1	0.403940394687014	1.94434985387432	1.540409459187306	positive					False	0.592733285272919	0.00111354091658009			False	False	False	False	False	False	False	False	False	False
4930527A07RIK	4930527A07RIK	ENSMUSG00000086764	unique_symbol	1	-0.337900413024825	-1.70972706570572	-1.371826652680895	negative					False	0.60289694385922	0.000672308882542027			False	False	False	False	False	False	False	False	False	False
4930528D03RIK	4930528D03RIK	ENSMUSG00000097502	unique_symbol	1	1.78400645505602	1.35535424260647	-0.42865221244955	negative					False	7.56568419373139e-07	9.91417121186131e-05			False	False	False	False	False	False	False	False	False	False
4930528J11RIK	4930528J11RIK	ENSMUSG00000107012	unique_symbol	1	-0.0629871005630638	-0.385843048411195	-0.3228559478481312	negative					False	0.829549329427757	0.0364646151708782			False	False	False	False	False	False	False	False	False	False
4930538E20RIK	4930538E20RIK	ENSMUSG00000085516	unique_symbol	1	-0.458022047915181	-0.147015488304951	0.31100655961022994	positive					False	0.000601551602961213	0.38558866215223			False	False	False	False	False	False	False	False	False	False
4930544M13RIK	4930544M13RIK	ENSMUSG00000051758	unique_symbol	1	0.866187251115954	1.23576372347048	0.36957647235452595	positive	1.11755441498082	3.62469783919743	2.50714342421661	positive	True	0.000320009169790394	8.603510721011e-08	0.100771457494457	5.71456435852684e-06	False	True	False	False	False	False	False	True	False	False
4930556I23RIK	4930556I23RIK	ENSMUSG00000089767	unique_symbol	1	-0.13238494875523	-0.783707989073569	-0.651323040318339	negative					False	0.804702504335933	0.0191050248862858			False	False	False	False	False	False	False	False	False	False
4930556N13RIK	4930556N13RIK	ENSMUSG00000092399	unique_symbol	1	0.367918459416871	0.701711695184524	0.333793235767653	positive					False	0.220460034028737	0.00890682935987803			False	False	False	False	False	False	False	False	False	False
4930562D21RIK	4930562D21RIK	ENSMUSG00000086608	unique_symbol	1	0.750220223831812	-0.828839588000598	-1.57905981183241	negative					False	0.0710116827981316	0.0349924569514173			False	False	False	False	False	False	False	False	False	False
4930568A13RIK	4930568A13RIK	ENSMUSG00000104638	unique_symbol	1	-1.28329508387598	-0.911674065993307	0.371621017882673	positive					False	0.00080376200531238	0.0331412463205875			False	False	False	False	False	False	False	False	False	False
