source_rss_sign	source_genes	found_in_our_universe	wt_bendpoint	cko_bendpoint	shared_bendpoint	cko_only_bendpoint	wt_only_bendpoint	direction_consistent	in_go_terms
negative	898	679	14	9	7	2	7	662	13
positive	533	346	29	36	27	9	2	325	34
