branch	go_direction	native	name	rss_gene_count	example_rss_genes
WT/FF	up	GO:0023061	signal release	6	Cckbr, Gpr151, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0042127	regulation of cell population proliferation	6	Cckbr, Ccn4, Cited2, Fgf3, Il6, Slamf1
WT/FF	up	GO:0048870	cell motility	6	Ccn4, Cited2, Satb2, Serpine1, Slamf1, Zpld2
WT/FF	up	GO:0050793	regulation of developmental process	6	Adm2, Ccn4, Cited2, Fgf3, Il6, Serpine1
WT/FF	up	GO:0051046	regulation of secretion	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn
WT/FF	up	GO:0051050	positive regulation of transport	6	Ankrd1, Cckbr, Grp, Il6, Serpine1, Ucn
WT/FF	up	GO:0051252	regulation of RNA metabolic process	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn
WT/FF	up	GO:0071705	nitrogen compound transport	6	Ankrd1, Cckbr, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0072359	circulatory system development	6	Adm2, Ankrd1, Ccn4, Cited2, Fgf3, Serpine1
WT/FF	up	GO:1903530	regulation of secretion by cell	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn
WT/FF	up	GO:2001141	regulation of RNA biosynthetic process	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn
cKO/CRE	up	GO:0007610	behavior	6	Adm2, Cckbr, Grp, Il6, Rin1, Ucn
cKO/CRE	up	GO:0009611	response to wounding	6	ENSMUSG00000061947, Il6, Krt6a, Plaur, Procr, Serpine1
cKO/CRE	up	GO:0009891	positive regulation of biosynthetic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0009892	negative regulation of metabolic process	6	Ankrd1, ENSMUSG00000030223, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0009893	positive regulation of metabolic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0009914	hormone transport	6	Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf
cKO/CRE	up	GO:0009967	positive regulation of signal transduction	6	Ankrd1, Grp, Il6, Plaur, Slamf1, Ucn
cKO/CRE	up	GO:0010557	positive regulation of macromolecule biosynthetic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010604	positive regulation of macromolecule metabolic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010605	negative regulation of macromolecule metabolic process	6	Ankrd1, ENSMUSG00000030223, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010817	regulation of hormone levels	6	Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf
cKO/CRE	up	GO:0030855	epithelial cell differentiation	6	2210017I01Rik, ENSMUSG00000030223, Krt6a, Lce1g, Plaur, Serpine1
cKO/CRE	up	GO:0033036	macromolecule localization	6	Ankrd1, ENSMUSG00000051209, Il6, Plppr4, Slc10a6, Vgf
cKO/CRE	up	GO:0042981	regulation of apoptotic process	6	Ankrd1, Grp, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0043067	regulation of programmed cell death	6	Ankrd1, Grp, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0051046	regulation of secretion	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn
cKO/CRE	up	GO:0051050	positive regulation of transport	6	Ankrd1, Cckbr, Grp, Il6, Serpine1, Ucn
cKO/CRE	up	GO:0080090	regulation of primary metabolic process	6	Ankrd1, ENSMUSG00000030223, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:1902531	regulation of intracellular signal transduction	6	Ankrd1, Dusp9, Il6, Plaur, Slamf1, Ucn
cKO/CRE	up	GO:1903530	regulation of secretion by cell	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn
WT/FF	up	GO:0001816	cytokine production	5	Ccn4, Il6, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0001817	regulation of cytokine production	5	Ccn4, Il6, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0002790	peptide secretion	5	Cckbr, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0008284	positive regulation of cell population proliferation	5	Cckbr, Ccn4, Fgf3, Il6, Slamf1
WT/FF	up	GO:0009914	hormone transport	5	Cckbr, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0010817	regulation of hormone levels	5	Cckbr, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0016192	vesicle-mediated transport	5	Gpr151, Grp, Rin1, Serpine1, Slamf1
WT/FF	up	GO:0022008	neurogenesis	5	Ankrd1, Il6, Plppr4, Satb2, Ucn
WT/FF	up	GO:0030155	regulation of cell adhesion	5	Cited2, Il6, Plaur, Serpine1, Slamf1
WT/FF	up	GO:0030855	epithelial cell differentiation	5	2210017I01Rik, Krt6a, Lce1g, Plaur, Serpine1
WT/FF	up	GO:0031347	regulation of defense response	5	Cckbr, Ccn4, Grp, Serpine1, Ucn
WT/FF	up	GO:0031349	positive regulation of defense response	5	Cckbr, Ccn4, Grp, Serpine1, Ucn
WT/FF	up	GO:0033036	macromolecule localization	5	Ankrd1, Il6, Plppr4, Slc10a6, Vgf
WT/FF	up	GO:0042592	homeostatic process	5	Cckbr, Ccn4, Cited2, Il6, Vgf
WT/FF	up	GO:0043066	negative regulation of apoptotic process	5	Cited2, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0043069	negative regulation of programmed cell death	5	Cited2, Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0045893	positive regulation of DNA-templated transcription	5	Ankrd1, Cited2, Il6, Satb2, Ucn
WT/FF	up	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	5	Ankrd1, Cited2, Il6, Satb2, Ucn
WT/FF	up	GO:0046879	hormone secretion	5	Cckbr, Grp, Il6, Ucn, Vgf
WT/FF	up	GO:0048699	generation of neurons	5	Ankrd1, Il6, Plppr4, Satb2, Ucn
WT/FF	up	GO:0051093	negative regulation of developmental process	5	Ccn4, Cited2, Fgf3, Il6, Serpine1
WT/FF	up	GO:0051094	positive regulation of developmental process	5	Adm2, Ccn4, Cited2, Il6, Serpine1
WT/FF	up	GO:0051254	positive regulation of RNA metabolic process	5	Ankrd1, Cited2, Il6, Satb2, Ucn
WT/FF	up	GO:0051641	cellular localization	5	Ankrd1, Gpr151, Grp, Il6, Vgf
WT/FF	up	GO:0061061	muscle structure development	5	Ankrd1, Ccn4, Cited2, Fgf3, Il6
WT/FF	up	GO:0141124	intracellular signaling cassette	5	Cckbr, Dusp9, Il6, Slamf1, Ucn
WT/FF	up	GO:1901700	response to oxygen-containing compound	5	Ankrd1, Il6, Serpine1, Ucn, Vgf
WT/FF	up	GO:1902533	positive regulation of intracellular signal transduction	5	Ankrd1, Cited2, Il6, Slamf1, Ucn
WT/FF	up	GO:1902680	positive regulation of RNA biosynthetic process	5	Ankrd1, Cited2, Il6, Satb2, Ucn
WT/FF	up	GO:2000026	regulation of multicellular organismal development	5	Adm2, Ccn4, Cited2, Il6, Serpine1
cKO/CRE	up	GO:0006793	phosphorus metabolic process	5	Dusp9, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0006796	phosphate-containing compound metabolic process	5	Dusp9, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0007399	nervous system development	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0008283	cell population proliferation	5	Cckbr, ENSMUSG00000067006, Fgf3, Il6, Slamf1
cKO/CRE	up	GO:0009628	response to abiotic stimulus	5	Ankrd1, Clca1, Gpr151, Ucn, Vgf
cKO/CRE	up	GO:0009719	response to endogenous stimulus	5	Ankrd1, Fgf3, Il6, Ucn, Vgf
cKO/CRE	up	GO:0009890	negative regulation of biosynthetic process	5	Ankrd1, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010558	negative regulation of macromolecule biosynthetic process	5	Ankrd1, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0010628	positive regulation of gene expression	5	Adm2, Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0016192	vesicle-mediated transport	5	Gpr151, Grp, Rin1, Serpine1, Slamf1
cKO/CRE	up	GO:0022008	neurogenesis	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0030030	cell projection organization	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0030182	neuron differentiation	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0031175	neuron projection development	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0031347	regulation of defense response	5	Cckbr, ENSMUSG00000025279, Grp, Serpine1, Ucn
cKO/CRE	up	GO:0042127	regulation of cell population proliferation	5	Cckbr, ENSMUSG00000067006, Fgf3, Il6, Slamf1
cKO/CRE	up	GO:0048666	neuron development	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0048699	generation of neurons	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0051246	regulation of protein metabolic process	5	ENSMUSG00000030223, Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0055085	transmembrane transport	5	Clca1, ENSMUSG00000038115, Grp, Kcnk16, Slc10a6
cKO/CRE	up	GO:0120036	plasma membrane bounded cell projection organization	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn
cKO/CRE	up	GO:0141124	intracellular signaling cassette	5	Cckbr, Dusp9, Il6, Slamf1, Ucn
cKO/CRE	up	GO:1901700	response to oxygen-containing compound	5	Ankrd1, Il6, Serpine1, Ucn, Vgf
WT/FF	up	GO:0000165	MAPK cascade	4	Cckbr, Dusp9, Il6, Slamf1
WT/FF	up	GO:0001819	positive regulation of cytokine production	4	Il6, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0006793	phosphorus metabolic process	4	Dusp9, Il6, Plppr4, Ucn
WT/FF	up	GO:0006796	phosphate-containing compound metabolic process	4	Dusp9, Il6, Plppr4, Ucn
WT/FF	up	GO:0006954	inflammatory response	4	Ccn4, Il6, Serpine1, Slamf1
WT/FF	up	GO:0009790	embryo development	4	Cited2, Hmx3, Satb2, Tm4sf1
WT/FF	up	GO:0022603	regulation of anatomical structure morphogenesis	4	Adm2, Cited2, Il6, Serpine1
WT/FF	up	GO:0030030	cell projection organization	4	Ankrd1, Il6, Plppr4, Ucn
WT/FF	up	GO:0030097	hemopoiesis	4	Ccn4, Cited2, Il6, Slamf1
WT/FF	up	GO:0030182	neuron differentiation	4	Ankrd1, Il6, Plppr4, Ucn
WT/FF	up	GO:0030334	regulation of cell migration	4	Ccn4, Cited2, Serpine1, Slamf1
WT/FF	up	GO:0031175	neuron projection development	4	Ankrd1, Il6, Plppr4, Ucn
WT/FF	up	GO:0032101	regulation of response to external stimulus	4	Ccn4, Plaur, Serpine1, Slamf1
WT/FF	up	GO:0033993	response to lipid	4	Ankrd1, Il6, Serpine1, Ucn
WT/FF	up	GO:0035295	tube development	4	Adm2, Cckbr, Cited2, Serpine1
WT/FF	up	GO:0040011	locomotion	4	Ccn4, Cited2, Serpine1, Slamf1
WT/FF	up	GO:0040012	regulation of locomotion	4	Ccn4, Cited2, Serpine1, Slamf1
WT/FF	up	GO:0045944	positive regulation of transcription by RNA polymerase II	4	Cited2, Il6, Satb2, Ucn
WT/FF	up	GO:0046883	regulation of hormone secretion	4	Cckbr, Grp, Il6, Ucn
WT/FF	up	GO:0048646	anatomical structure formation involved in morphogenesis	4	Adm2, Cited2, Serpine1, Tm4sf1
WT/FF	up	GO:0048666	neuron development	4	Ankrd1, Il6, Plppr4, Ucn
WT/FF	up	GO:0051047	positive regulation of secretion	4	Ankrd1, Cckbr, Grp, Ucn
WT/FF	up	GO:0051130	positive regulation of cellular component organization	4	Ankrd1, Il6, Plaur, Serpine1
WT/FF	up	GO:0051246	regulation of protein metabolic process	4	Il6, Plaur, Serpine1, Ucn
WT/FF	up	GO:0055085	transmembrane transport	4	Clca1, Grp, Kcnk16, Slc10a6
WT/FF	up	GO:0070848	response to growth factor	4	Ankrd1, Cited2, Fgf3, Il6
WT/FF	up	GO:0071363	cellular response to growth factor stimulus	4	Ankrd1, Cited2, Fgf3, Il6
WT/FF	up	GO:0071495	cellular response to endogenous stimulus	4	Ankrd1, Cited2, Fgf3, Il6
WT/FF	up	GO:0120036	plasma membrane bounded cell projection organization	4	Ankrd1, Il6, Plppr4, Ucn
WT/FF	up	GO:1903532	positive regulation of secretion by cell	4	Ankrd1, Cckbr, Grp, Ucn
WT/FF	up	GO:2000145	regulation of cell motility	4	Ccn4, Cited2, Serpine1, Slamf1
cKO/CRE	up	GO:0000165	MAPK cascade	4	Cckbr, Dusp9, Il6, Slamf1
cKO/CRE	up	GO:0001816	cytokine production	4	Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0001817	regulation of cytokine production	4	Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0001819	positive regulation of cytokine production	4	Il6, Serpine1, Slamf1, Ucn
cKO/CRE	up	GO:0002682	regulation of immune system process	4	ENSMUSG00000025279, Il6, Serpine1, Slamf1
cKO/CRE	up	GO:0006508	proteolysis	4	Clca1, Ecel1, Plaur, Serpine1
cKO/CRE	up	GO:0006954	inflammatory response	4	ENSMUSG00000025279, Il6, Serpine1, Slamf1
cKO/CRE	up	GO:0007155	cell adhesion	4	Il6, Plaur, Serpine1, Slamf1
cKO/CRE	up	GO:0008104	protein localization	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf
cKO/CRE	up	GO:0009306	protein secretion	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf
cKO/CRE	up	GO:0015031	protein transport	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf
cKO/CRE	up	GO:0016477	cell migration	4	ENSMUSG00000030223, Serpine1, Slamf1, Zpld2
cKO/CRE	up	GO:0030155	regulation of cell adhesion	4	Il6, Plaur, Serpine1, Slamf1
cKO/CRE	up	GO:0031349	positive regulation of defense response	4	Cckbr, Grp, Serpine1, Ucn
cKO/CRE	up	GO:0032101	regulation of response to external stimulus	4	ENSMUSG00000025279, Plaur, Serpine1, Slamf1
cKO/CRE	up	GO:0035592	establishment of protein localization to extracellular region	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf
cKO/CRE	up	GO:0036211	protein modification process	4	Dusp9, ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0043066	negative regulation of apoptotic process	4	Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0043069	negative regulation of programmed cell death	4	Il6, Plaur, Serpine1, Ucn
cKO/CRE	up	GO:0043412	macromolecule modification	4	Dusp9, ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0045184	establishment of protein localization	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf
cKO/CRE	up	GO:0048729	tissue morphogenesis	4	Ankrd1, ENSMUSG00000067006, Il6, Krt6a
cKO/CRE	up	GO:0048870	cell motility	4	ENSMUSG00000030223, Serpine1, Slamf1, Zpld2
cKO/CRE	up	GO:0050793	regulation of developmental process	4	Adm2, Fgf3, Il6, Serpine1
cKO/CRE	up	GO:0051047	positive regulation of secretion	4	Ankrd1, Cckbr, Grp, Ucn
cKO/CRE	up	GO:0051130	positive regulation of cellular component organization	4	Ankrd1, Il6, Plaur, Serpine1
cKO/CRE	up	GO:0051649	establishment of localization in cell	4	ENSMUSG00000038115, Gpr151, Grp, Il6
cKO/CRE	up	GO:0070727	cellular macromolecule localization	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf
cKO/CRE	up	GO:0071692	protein localization to extracellular region	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf
cKO/CRE	up	GO:0072359	circulatory system development	4	Adm2, Ankrd1, Fgf3, Serpine1
cKO/CRE	up	GO:0140546	defense response to symbiont	4	Bpifc, ENSMUSG00000076434, Krt6a, Slamf1
cKO/CRE	up	GO:1902533	positive regulation of intracellular signal transduction	4	Ankrd1, Il6, Slamf1, Ucn
cKO/CRE	up	GO:1903532	positive regulation of secretion by cell	4	Ankrd1, Cckbr, Grp, Ucn
WT/FF	up	GO:0000122	negative regulation of transcription by RNA polymerase II	3	Ankrd1, Cited2, Satb2
WT/FF	up	GO:0001503	ossification	3	Ccn4, Grp, Satb2
WT/FF	up	GO:0001568	blood vessel development	3	Adm2, Cited2, Serpine1
WT/FF	up	GO:0001775	cell activation	3	Grp, Il6, Slamf1
WT/FF	up	GO:0001944	vasculature development	3	Adm2, Cited2, Serpine1
WT/FF	up	GO:0002237	response to molecule of bacterial origin	3	Ankrd1, Il6, Serpine1
WT/FF	up	GO:0002682	regulation of immune system process	3	Il6, Serpine1, Slamf1
WT/FF	up	GO:0002684	positive regulation of immune system process	3	Il6, Serpine1, Slamf1
WT/FF	up	GO:0006897	endocytosis	3	Rin1, Serpine1, Slamf1
WT/FF	up	GO:0006996	organelle organization	3	Krt6a, Plaur, Slamf1
WT/FF	up	GO:0007167	enzyme-linked receptor protein signaling pathway	3	Cited2, Fgf3, Plaur
WT/FF	up	GO:0008104	protein localization	3	Ankrd1, Il6, Vgf
WT/FF	up	GO:0009306	protein secretion	3	Ankrd1, Il6, Vgf
WT/FF	up	GO:0009725	response to hormone	3	Cited2, Ucn, Vgf
WT/FF	up	GO:0015031	protein transport	3	Ankrd1, Il6, Vgf
WT/FF	up	GO:0030335	positive regulation of cell migration	3	Ccn4, Serpine1, Slamf1
WT/FF	up	GO:0032103	positive regulation of response to external stimulus	3	Ccn4, Serpine1, Slamf1
WT/FF	up	GO:0032496	response to lipopolysaccharide	3	Ankrd1, Il6, Serpine1
WT/FF	up	GO:0033554	cellular response to stress	3	Ankrd1, Cited2, Clca1
WT/FF	up	GO:0035239	tube morphogenesis	3	Adm2, Cited2, Serpine1
WT/FF	up	GO:0035592	establishment of protein localization to extracellular region	3	Ankrd1, Il6, Vgf
WT/FF	up	GO:0036211	protein modification process	3	Dusp9, Il6, Ucn
WT/FF	up	GO:0040007	growth	3	Ccn4, Cited2, Ucn
WT/FF	up	GO:0040008	regulation of growth	3	Ccn4, Cited2, Ucn
WT/FF	up	GO:0040017	positive regulation of locomotion	3	Ccn4, Serpine1, Slamf1
WT/FF	up	GO:0043408	regulation of MAPK cascade	3	Dusp9, Il6, Slamf1
WT/FF	up	GO:0043412	macromolecule modification	3	Dusp9, Il6, Ucn
WT/FF	up	GO:0045184	establishment of protein localization	3	Ankrd1, Il6, Vgf
WT/FF	up	GO:0045595	regulation of cell differentiation	3	Ccn4, Il6, Serpine1
WT/FF	up	GO:0045597	positive regulation of cell differentiation	3	Ccn4, Il6, Serpine1
WT/FF	up	GO:0045892	negative regulation of DNA-templated transcription	3	Ankrd1, Cited2, Satb2
WT/FF	up	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	3	Ankrd1, Cited2, Satb2
WT/FF	up	GO:0048514	blood vessel morphogenesis	3	Adm2, Cited2, Serpine1
WT/FF	up	GO:0048568	embryonic organ development	3	Cited2, Hmx3, Satb2
WT/FF	up	GO:0048598	embryonic morphogenesis	3	Cited2, Hmx3, Satb2
WT/FF	up	GO:0051051	negative regulation of transport	3	Grp, Il6, Ucn
WT/FF	up	GO:0051253	negative regulation of RNA metabolic process	3	Ankrd1, Cited2, Satb2
WT/FF	up	GO:0051649	establishment of localization in cell	3	Gpr151, Grp, Il6
WT/FF	up	GO:0060627	regulation of vesicle-mediated transport	3	Gpr151, Serpine1, Slamf1
WT/FF	up	GO:0070727	cellular macromolecule localization	3	Ankrd1, Il6, Vgf
WT/FF	up	GO:0071216	cellular response to biotic stimulus	3	Ankrd1, Il6, Serpine1
WT/FF	up	GO:0071219	cellular response to molecule of bacterial origin	3	Ankrd1, Il6, Serpine1
WT/FF	up	GO:0071222	cellular response to lipopolysaccharide	3	Ankrd1, Il6, Serpine1
WT/FF	up	GO:0071692	protein localization to extracellular region	3	Ankrd1, Il6, Vgf
WT/FF	up	GO:0098657	import into cell	3	Rin1, Serpine1, Slamf1
WT/FF	up	GO:0140546	defense response to symbiont	3	Bpifc, Krt6a, Slamf1
WT/FF	up	GO:1901701	cellular response to oxygen-containing compound	3	Ankrd1, Il6, Serpine1
WT/FF	up	GO:1902679	negative regulation of RNA biosynthetic process	3	Ankrd1, Cited2, Satb2
WT/FF	up	GO:2000147	positive regulation of cell motility	3	Ccn4, Serpine1, Slamf1
cKO/CRE	up	GO:0000902	cell morphogenesis	3	ENSMUSG00000030223, Il6, Plppr4
cKO/CRE	up	GO:0001932	regulation of protein phosphorylation	3	ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0002684	positive regulation of immune system process	3	Il6, Serpine1, Slamf1
cKO/CRE	up	GO:0006351	DNA-templated transcription	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0006355	regulation of DNA-templated transcription	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0006357	regulation of transcription by RNA polymerase II	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0006366	transcription by RNA polymerase II	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0006468	protein phosphorylation	3	ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0006897	endocytosis	3	Rin1, Serpine1, Slamf1
cKO/CRE	up	GO:0006996	organelle organization	3	Krt6a, Plaur, Slamf1
cKO/CRE	up	GO:0016055	Wnt signaling pathway	3	ENSMUSG00000030223, Krt6a, Tmem88b
cKO/CRE	up	GO:0016310	phosphorylation	3	ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0019219	regulation of nucleobase-containing compound metabolic process	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0019220	regulation of phosphate metabolic process	3	ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0022603	regulation of anatomical structure morphogenesis	3	Adm2, Il6, Serpine1
cKO/CRE	up	GO:0031399	regulation of protein modification process	3	ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0035295	tube development	3	Adm2, Cckbr, Serpine1
cKO/CRE	up	GO:0040011	locomotion	3	ENSMUSG00000030223, Serpine1, Slamf1
cKO/CRE	up	GO:0042325	regulation of phosphorylation	3	ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0042592	homeostatic process	3	Cckbr, Il6, Vgf
cKO/CRE	up	GO:0043408	regulation of MAPK cascade	3	Dusp9, Il6, Slamf1
cKO/CRE	up	GO:0043588	skin development	3	2210017I01Rik, Krt6a, Lce1g
cKO/CRE	up	GO:0045087	innate immune response	3	Bpifc, ENSMUSG00000076434, Slamf1
cKO/CRE	up	GO:0045893	positive regulation of DNA-templated transcription	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0051093	negative regulation of developmental process	3	Fgf3, Il6, Serpine1
cKO/CRE	up	GO:0051094	positive regulation of developmental process	3	Adm2, Il6, Serpine1
cKO/CRE	up	GO:0051174	regulation of phosphorus metabolic process	3	ENSMUSG00000030223, Il6, Ucn
cKO/CRE	up	GO:0051252	regulation of RNA metabolic process	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0051254	positive regulation of RNA metabolic process	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:0060627	regulation of vesicle-mediated transport	3	Gpr151, Serpine1, Slamf1
cKO/CRE	up	GO:0070848	response to growth factor	3	Ankrd1, Fgf3, Il6
cKO/CRE	up	GO:0071216	cellular response to biotic stimulus	3	Ankrd1, Il6, Serpine1
cKO/CRE	up	GO:0071363	cellular response to growth factor stimulus	3	Ankrd1, Fgf3, Il6
cKO/CRE	up	GO:0071495	cellular response to endogenous stimulus	3	Ankrd1, Fgf3, Il6
cKO/CRE	up	GO:0098657	import into cell	3	Rin1, Serpine1, Slamf1
cKO/CRE	up	GO:1901701	cellular response to oxygen-containing compound	3	Ankrd1, Il6, Serpine1
cKO/CRE	up	GO:1902680	positive regulation of RNA biosynthetic process	3	Ankrd1, Il6, Ucn
cKO/CRE	up	GO:2000026	regulation of multicellular organismal development	3	Adm2, Il6, Serpine1
cKO/CRE	up	GO:2001141	regulation of RNA biosynthetic process	3	Ankrd1, Il6, Ucn
WT/FF	up	GO:0000902	cell morphogenesis	2	Il6, Plppr4
WT/FF	up	GO:0001525	angiogenesis	2	Adm2, Serpine1
WT/FF	up	GO:0001649	osteoblast differentiation	2	Ccn4, Satb2
WT/FF	up	GO:0001932	regulation of protein phosphorylation	2	Il6, Ucn
WT/FF	up	GO:0001934	positive regulation of protein phosphorylation	2	Il6, Ucn
WT/FF	up	GO:0006468	protein phosphorylation	2	Il6, Ucn
WT/FF	up	GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	2	Fgf3, Plaur
WT/FF	up	GO:0008285	negative regulation of cell population proliferation	2	Cited2, Il6
WT/FF	up	GO:0010562	positive regulation of phosphorus metabolic process	2	Il6, Ucn
WT/FF	up	GO:0010975	regulation of neuron projection development	2	Ankrd1, Il6
WT/FF	up	GO:0014812	muscle cell migration	2	Ccn4, Serpine1
WT/FF	up	GO:0014909	smooth muscle cell migration	2	Ccn4, Serpine1
WT/FF	up	GO:0014910	regulation of smooth muscle cell migration	2	Ccn4, Serpine1
WT/FF	up	GO:0016310	phosphorylation	2	Il6, Ucn
WT/FF	up	GO:0018193	peptidyl-amino acid modification	2	Il6, Ucn
WT/FF	up	GO:0019220	regulation of phosphate metabolic process	2	Il6, Ucn
WT/FF	up	GO:0030336	negative regulation of cell migration	2	Cited2, Serpine1
WT/FF	up	GO:0031344	regulation of cell projection organization	2	Ankrd1, Il6
WT/FF	up	GO:0031346	positive regulation of cell projection organization	2	Ankrd1, Il6
WT/FF	up	GO:0031399	regulation of protein modification process	2	Il6, Ucn
WT/FF	up	GO:0031401	positive regulation of protein modification process	2	Il6, Ucn
WT/FF	up	GO:0031667	response to nutrient levels	2	Ucn, Vgf
WT/FF	up	GO:0032880	regulation of protein localization	2	Ankrd1, Il6
WT/FF	up	GO:0033002	muscle cell proliferation	2	Ccn4, Cited2
WT/FF	up	GO:0034097	response to cytokine	2	Ankrd1, Il6
WT/FF	up	GO:0040013	negative regulation of locomotion	2	Cited2, Serpine1
WT/FF	up	GO:0042325	regulation of phosphorylation	2	Il6, Ucn
WT/FF	up	GO:0042327	positive regulation of phosphorylation	2	Il6, Ucn
WT/FF	up	GO:0043065	positive regulation of apoptotic process	2	Ankrd1, Grp
WT/FF	up	GO:0043068	positive regulation of programmed cell death	2	Ankrd1, Grp
WT/FF	up	GO:0043523	regulation of neuron apoptotic process	2	Il6, Ucn
WT/FF	up	GO:0045087	innate immune response	2	Bpifc, Slamf1
WT/FF	up	GO:0045765	regulation of angiogenesis	2	Adm2, Serpine1
WT/FF	up	GO:0045927	positive regulation of growth	2	Ccn4, Ucn
WT/FF	up	GO:0045937	positive regulation of phosphate metabolic process	2	Il6, Ucn
WT/FF	up	GO:0048511	rhythmic process	2	Cckbr, Il6
WT/FF	up	GO:0048589	developmental growth	2	Ccn4, Cited2
WT/FF	up	GO:0048638	regulation of developmental growth	2	Ccn4, Cited2
WT/FF	up	GO:0050727	regulation of inflammatory response	2	Ccn4, Serpine1
WT/FF	up	GO:0050776	regulation of immune response	2	Il6, Slamf1
WT/FF	up	GO:0050778	positive regulation of immune response	2	Il6, Slamf1
WT/FF	up	GO:0050890	cognition	2	Rin1, Ucn
