branch	go_direction	native	name	rss_gene_count	example_rss_genes
WT/FF	up	GO:0048518	positive regulation of biological process	13	Adm2, Ankrd1, Cckbr, Ccn4, Cited2, Fgf3, Grp, Il6
WT/FF	up	GO:0048522	positive regulation of cellular process	13	Adm2, Ankrd1, Cckbr, Ccn4, Cited2, Fgf3, Grp, Il6
WT/FF	up	GO:0065008	regulation of biological quality	13	Adm2, Angptl2, Cckbr, Grp, Il6, Kcnk16, Plaur, Plppr4
cKO/CRE	up	GO:0007275	multicellular organism development	13	Adm2, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6
cKO/CRE	up	GO:0030154	cell differentiation	13	2210017I01Rik, Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Fgf3, Il6, Krt6a, Lce1g
cKO/CRE	up	GO:0043170	macromolecule metabolic process	13	Adm2, Ankrd1, Clca1, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Ecel1, Grp
cKO/CRE	up	GO:0048731	system development	13	Adm2, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6
cKO/CRE	up	GO:0048869	cellular developmental process	13	2210017I01Rik, Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Fgf3, Il6, Krt6a, Lce1g
WT/FF	up	GO:0009889	regulation of biosynthetic process	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur
WT/FF	up	GO:0010468	regulation of gene expression	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur
WT/FF	up	GO:0010556	regulation of macromolecule biosynthetic process	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur
WT/FF	up	GO:0019222	regulation of metabolic process	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur
WT/FF	up	GO:0044238	primary metabolic process	12	Ankrd1, Cited2, Clca1, Dusp9, Ecel1, Hmx3, Il6, Plaur
WT/FF	up	GO:0048523	negative regulation of cellular process	12	Ankrd1, Ccn4, Cited2, Dusp9, Grp, Il6, Plaur, Satb2
WT/FF	up	GO:0048583	regulation of response to stimulus	12	Ankrd1, Cckbr, Ccn4, Cited2, Dusp9, Grp, Il6, Plaur
WT/FF	up	GO:0051239	regulation of multicellular organismal process	12	Adm2, Cckbr, Ccn4, Cited2, Fgf3, Grp, Il6, Plaur
WT/FF	up	GO:0060255	regulation of macromolecule metabolic process	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur
cKO/CRE	up	GO:0006952	defense response	12	Bpifc, Cckbr, Cd207, ENSMUSG00000025279, ENSMUSG00000076434, Grp, Il6, Krt6a
cKO/CRE	up	GO:0048519	negative regulation of biological process	12	Ankrd1, Dusp9, ENSMUSG00000030223, Fgf3, Grp, Il6, Plaur, Procr
cKO/CRE	up	GO:0048583	regulation of response to stimulus	12	Ankrd1, Cckbr, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Grp, Il6, Plaur
WT/FF	up	GO:0006952	defense response	11	Bpifc, Cckbr, Ccn4, Cd207, Grp, Il6, Krt6a, Serpine1
WT/FF	up	GO:0009888	tissue development	11	2210017I01Rik, Ankrd1, Ccn4, Cited2, Fgf3, Il6, Krt6a, Lce1g
WT/FF	up	GO:0009966	regulation of signal transduction	11	Ankrd1, Ccn4, Cited2, Dusp9, Grp, Il6, Plaur, Serpine1
cKO/CRE	up	GO:0002376	immune system process	11	Bpifc, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000076434, Grp, Il6, Krt6a, Sectm1b
cKO/CRE	up	GO:0016043	cellular component organization	11	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plaur, Plppr4
cKO/CRE	up	GO:0044238	primary metabolic process	11	Ankrd1, Clca1, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Ecel1, Il6, Plaur
cKO/CRE	up	GO:0051239	regulation of multicellular organismal process	11	Adm2, Cckbr, ENSMUSG00000030223, Fgf3, Grp, Il6, Plaur, Procr
cKO/CRE	up	GO:0071840	cellular component organization or biogenesis	11	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plaur, Plppr4
