sample	size_factor
SRR35329977	1.31523250958286
SRR35329978	0.898175696412024
SRR35329979	1.36861932455136
SRR35329980	0.867553035673212
SRR35329981	1.12039902887772
SRR35329982	1.04793154777227
SRR35329983	1.00543065424236
SRR35329984	0.876128457535014
SRR35329985	0.868383398922598
SRR35329986	0.82592217521666
SRR35329987	1.23307447087633
SRR35329988	0.896274166855708
SRR35329989	0.888346808976731
SRR35329990	0.891851005531807
SRR35329991	0.943996015307951
SRR35329992	1.1279792379385
SRR35329993	1.1920675922089
SRR35329994	0.940966653844885
SRR35329995	1.00887781504243
SRR35329996	0.967099842648809
