family_id	contrast_id	contrast_label	result_method	n_tested	n_significant	full_table	sig_table	top_table	volcano_png	ma_png	heatmap_png
family_drg_novaseqx	geno_in_contra	Genotype effect in contralateral DRG (CRE vs FF)	coef: geno_class_cre_vs_ff	21466	891	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_contra_full.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_contra_significant.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_contra_top_genes.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_contra_volcano.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_contra_ma.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_contra_heatmap.png
family_drg_novaseqx	geno_in_ipsi	Genotype effect in ipsilateral DRG (CRE vs FF)	list: geno_class_cre_vs_ff + side_classipsi.geno_classcre	21466	2	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_ipsi_full.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_ipsi_significant.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_ipsi_top_genes.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_ipsi_volcano.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_ipsi_ma.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/geno_in_ipsi_heatmap.png
family_drg_novaseqx	ipsi_vs_contra_in_ff	Ipsilateral vs contralateral effect in FF DRG	coef: side_class_ipsi_vs_contra	21466	7023	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_ff_full.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_ff_significant.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_ff_top_genes.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_ff_volcano.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_ff_ma.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_ff_heatmap.png
family_drg_novaseqx	ipsi_vs_contra_in_cre	Ipsilateral vs contralateral effect in CRE DRG	list: side_class_ipsi_vs_contra + side_classipsi.geno_classcre	21466	7541	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_cre_full.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_cre_significant.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_cre_top_genes.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_cre_volcano.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_cre_ma.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/ipsi_vs_contra_in_cre_heatmap.png
family_drg_novaseqx	interaction	Interaction term: extra ipsilateral effect in CRE DRG	coef: side_classipsi.geno_classcre	21466	14	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/interaction_full.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/interaction_significant.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/interaction_top_genes.tsv	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/interaction_volcano.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/interaction_ma.png	/Users/pitergarcia/DataScience/Semester5/BIOL550/group_project/mouse_new/differential_expression_all20/family_drg_novaseqx/tables/interaction_heatmap.png
