description	effective_domain_size	goshv	intersection_size	intersections	name	native	p_value	parents	precision	query	query_size	recall	significant	source	term_size	source_order	group_id	neglog10_fdr	coverage	fold_enrichment	rank_fdr	rank_fe	avg_rank	Direction	term_label
"""Any process, acting in the presynapse that results in modulation of chemical synaptic transmission."" [GOC:dos]"	25907	28982	5	[[], [], [], [], [], [], [], [], ['IDA', 'IMP'], [], [], [], [], [], [], [], [], [], [], [], [], ['EXP', 'IDA', 'IMP', 'IEP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['EXP', 'IMP'], [], [], [], ['ISO'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]	presynaptic modulation of chemical synaptic transmission	GO:0099171	0.0035403652477577906	['GO:0050804']	0.05555555555555555	query_1	90	0.08333333333333333	True	GO:BP	60	18828	1	2.4509519309394543	0.05555555555555555	23.987962962962964	1.0	1.0	1.0	Downregulated	presynaptic modulation of chemical synaptic transmission
"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]"	25907	13038	23	[['IDA'], ['ISO', 'IEA'], [], [], [], [], ['IDA', 'ISO', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], ['IMP', 'IEA'], [], [], ['IDA', 'IMP', 'ISO', 'IBA', 'IEA'], ['IMP', 'IGI'], [], [], [], ['IBA'], [], [], [], [], ['IMP'], ['IDA', 'ISO', 'IEA'], [], ['IMP', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], ['IMP'], [], ['IMP', 'IGI', 'ISO', 'IEA'], [], [], [], ['IEA'], [], ['IMP', 'IBA'], [], [], [], ['IMP', 'IBA'], [], [], ['IGI'], [], [], [], [], [], [], ['IMP', 'IEA'], [], [], [], [], [], ['ISO'], [], ['IDA'], [], [], [], [], [], ['IBA'], [], [], [], [], [], ['IDA', 'IMP', 'IGI', 'IBA', 'IEA'], [], [], [], [], ['IBA'], [], [], [], []]	nervous system development	GO:0007399	0.03155374138609294	['GO:0048731']	0.25555555555555554	query_1	90	0.00887003470883147	True	GO:BP	2593	2884	2	1.500949138258215	0.25555555555555554	2.5532887689077426	2.0	2.0	2.0	Downregulated	nervous system development
