Direction	native	name	gene_id	symbol	evidence_codes
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000026628	Atf3	IMP, IGI, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000036390	Gadd45a	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000051379	Flrt3	IDA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000052684	Jun	IDA, IMP, IGI, ISS, ISO
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000063632	Sox11	IDA, IMP, ISS, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000019647	Sema6a	IMP, IBA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000046223	Plaur	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000031574	Star	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000039328	Rnf122	ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000004951	Hspb1	IDA, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000046688	Tifa	IDA, ISS, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025473	Adam8	IDA, IMP, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000050164	Mchr1	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000028494	Plin2	IBA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000030898	Cckbr	ISS, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000046731	Kctd11	IDA, IBA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000056749	Nfil3	IDA, IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000024143	Rhoq	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000022895	Ets2	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000019876	Pkib	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000037447	Arid5a	IDA, IMP, IGI, ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000030748	Il4ra	IMP, IGI
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000023905	Tnfrsf12a	IDA, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000030102	Itpr1	IMP, IGI, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000032515	Csrnp1	IDA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025089	Gfra1	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000021765	Fst	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000014599	Csf1	IDA, IMP, IGI, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025612	Bach1	IDA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000020427	Igfbp3	IGI, ISS, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000023067	Cdkn1a	IMP, IGI, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000024404	Riok3	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000000078	Klf6	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000006304	Arpc2	IDA, IMP, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000027495	Fam210b	ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000031074	Fgf3	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000030272	Camk1	IDA, ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000020205	Phlda1	ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000001542	Ell2	ISO, IBA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000031681	Smad1	IDA, IMP, IGI, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000050989	Selenon	IDA, ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000035673	Sbno2	IMP, IBA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000024261	Syt4	IMP, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000032939	Nup93	IDA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000033060	Lmo7	IDA, ISS, ISO
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000003644	Rps6ka1	ISS, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000029378	Areg	IDA, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000042688	Mapk6	IGI
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000005087	Cd44	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000026836	Acvr1	IMP, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000026670	Uap1	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000021453	Gadd45g	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000038943	Prc1	ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000068566	Myadm	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000048482	Bdnf	IDA, IMP, IGI, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000024256	Adcyap1	IDA, IMP, ISS, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000034832	Tet3	ISS, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000037458	Azin1	IDA, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000018736	Ndel1	IMP, ISO
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000002250	Ppard	IDA, IMP, ISS, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000018507	Trpv2	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000038894	Irs2	IDA, IMP, IGI, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000037568	Vash2	IMP, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000007041	Clic1	IDA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000005069	Pex5	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000045136	Tubb2b	ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000028789	Azin2	IDA, IBA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000026796	Niban2	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000027540	Ptpn1	IMP, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000043895	S1pr2	IMP, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000022661	Cd200	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000011179	Odc1	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000027035	Cers6	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000027583	Zbtb46	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000028063	Lmna	IMP, ISO
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000041548	Hspb8	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000001420	Tmem79	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000030678	Maz	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000053436	Mapk14	IMP, IGI, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025809	Itgb1	IMP, ISS, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000040025	Ythdf2	IMP, ISS, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000028156	Eif4e	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000018362	Kpna2	IMP, ISO
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000022043	Trim35	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000011008	Mcoln2	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000048490	Nrip1	IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000015243	Abca1	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000022272	Myo10	IGI
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000013089	Etv5	IDA, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025139	Tollip	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000020592	Sdc1	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000025746	Il6	IDA, IMP, IGI, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000002233	Rhoc	IMP, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000032231	Anxa2	IDA, IMP, ISO, IBA, NAS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000047368	Abhd17b	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000073563	Csnk1g3	IBA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000031078	Cttn	ISS, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000022607	Ptk2	IDA, IMP, ISS, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000055994	Nod2	IDA, IMP, IGI, ISS, ISO, IBA, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000024014	Pim1	IMP, ISS, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000037062	Sh3glb1	IDA, IMP, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000034247	Plekhm1	IMP
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000024772	Ehd1	IMP, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000023169	Slc38a1	ISS, ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000027293	Ehd4	ISO, IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000020580	Rock2	IEA
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000063889	Crem	IGI
CRE upregulated	GO:0048518	positive regulation of biological process	ENSMUSG00000027560	Dok5	IDA, IBA
