description	effective_domain_size	goshv	intersection_size	intersections	name	native	p_value	parents	precision	query	query_size	recall	significant	source	term_size	source_order	group_id	neglog10_fdr	coverage	fold_enrichment	rank_fdr	rank_fe	avg_rank	Direction
"""Any process, acting in the presynapse that results in modulation of chemical synaptic transmission."" [GOC:dos]"	25907	28982	5	[[], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], ['EXP', 'IMP'], [], [], [], [], [], ['EXP', 'IDA', 'IMP', 'IEP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IMP'], [], [], ['IDA', 'IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]	presynaptic modulation of chemical synaptic transmission	GO:0099171	0.0015176828429238605	['GO:0050804']	0.06944444444444445	query_1	72	0.08333333333333333	True	GO:BP	60	18828	2	2.8188189754491635	0.06944444444444445	29.984953703703706	1.0	1.0	1.0	CRE downregulated
"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	25907	16760	25	[['IGI', 'IBA'], [], ['ISO', 'IEA'], ['IBA', 'IEA'], [], [], ['IDA', 'IMP', 'IGI', 'IBA', 'IEA'], ['IMP'], [], [], [], [], [], ['EXP', 'IMP'], [], [], [], [], ['IMP'], ['EXP', 'IDA', 'IMP', 'IEP'], [], ['IBA', 'IEA'], ['IEA'], [], [], [], [], ['IMP', 'IBA'], [], [], [], ['IEA'], [], [], [], ['IDA', 'ISO', 'IEA'], [], [], [], [], [], [], [], [], ['IMP', 'ISO', 'IEA'], [], [], [], [], [], [], ['IBA'], [], [], [], [], ['ISS', 'IBA', 'IEA'], [], [], ['IMP'], [], [], [], ['IDA'], [], [], ['IDA', 'IMP', 'IEA'], [], [], ['IDA', 'IMP'], ['ISS', 'IEA'], ['IMP'], [], ['ISO'], ['IDA', 'IBA'], [], [], [], [], [], [], [], ['IDA', 'IMP', 'IGI', 'ISO', 'IBA'], [], []]	regulation of signaling	GO:0023051	0.011971376014917589	['GO:0023052', 'GO:0050789']	0.3472222222222222	query_1	72	0.0070264193367060145	True	GO:BP	3558	6606	1	1.9218559280113034	0.3472222222222222	2.52824230216726	2.0	4.0	3.0	CRE downregulated
"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	25907	14429	25	[['IGI', 'IBA'], [], ['ISO', 'IEA'], ['IBA', 'IEA'], [], [], ['IDA', 'IMP', 'IGI', 'IBA', 'IEA'], ['IMP'], [], [], [], [], [], ['EXP', 'IMP'], [], [], [], [], ['IMP'], ['EXP', 'IDA', 'IMP', 'IEP'], [], ['IBA', 'IEA'], ['IEA'], [], [], [], [], ['IMP', 'IBA'], [], [], [], ['IEA'], [], [], [], ['IDA', 'ISO', 'IEA'], [], [], [], [], [], [], [], [], ['IMP', 'ISO', 'IEA'], [], [], [], [], [], [], ['IBA'], [], [], [], [], ['ISS', 'IBA', 'IEA'], [], [], ['IMP'], [], [], [], ['IDA'], [], [], ['IDA', 'IMP', 'IEA'], [], [], ['IDA', 'IMP'], ['ISS', 'IEA'], ['IMP'], [], ['ISO'], ['IDA', 'IBA'], [], [], [], [], [], [], [], ['IDA', 'IMP', 'IGI', 'ISO', 'IBA'], [], []]	regulation of cell communication	GO:0010646	0.012093313388243033	['GO:0007154', 'GO:0050794']	0.3472222222222222	query_1	72	0.007022471910112359	True	GO:BP	3560	4275	1	1.9174546925981264	0.3472222222222222	2.5268219413233455	3.0	5.0	4.0	CRE downregulated
"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	25907	13943	22	[['IGI', 'IBA'], [], ['ISO', 'IEA'], ['IBA', 'IEA'], [], [], ['IDA', 'IMP', 'IGI', 'IBA', 'IEA'], ['IMP'], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], ['IBA', 'IEA'], ['IEA'], [], [], [], [], ['IMP', 'IBA'], [], [], [], ['IEA'], [], [], [], ['IDA', 'ISO', 'IEA'], [], [], [], [], [], [], [], [], ['IMP', 'ISO', 'IEA'], [], [], [], [], [], [], ['IBA'], [], [], [], [], ['ISS', 'IBA', 'IEA'], [], [], ['IMP'], [], [], [], ['IDA'], [], [], ['IEA'], [], [], [], ['ISS', 'IEA'], ['IMP'], [], ['ISO'], ['IDA', 'IBA'], [], [], [], [], [], [], [], ['IDA', 'IMP', 'IGI', 'ISO', 'IBA'], [], []]	regulation of signal transduction	GO:0009966	0.020224980200659208	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	0.3055555555555556	query_1	72	0.007482993197278911	True	GO:BP	2940	3789	1	1.6941118948701357	0.3055555555555556	2.692526455026455	4.0	3.0	3.5	CRE downregulated
"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	25907	32195	17	[[], [], ['ISO', 'IEA'], ['IBA', 'IEA'], [], [], ['IEA'], ['IMP'], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], ['IEA'], ['IEA'], [], [], [], [], ['IMP', 'IBA'], [], [], [], ['IEA'], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], ['ISO', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], ['ISS', 'IEA'], ['IMP'], [], ['ISO'], ['IDA'], [], [], [], [], [], [], [], ['ISO', 'IBA'], [], []]	regulation of intracellular signal transduction	GO:1902531	0.021632468911685073	['GO:0009966', 'GO:0035556']	0.2361111111111111	query_1	72	0.00914962325080732	True	GO:BP	1858	22041	1	1.6648939117429806	0.2361111111111111	3.2922123549814617	5.0	2.0	3.5	CRE downregulated
