description	effective_domain_size	goshv	intersection_size	intersections	name	native	p_value	parents	precision	query	query_size	recall	significant	source	term_size	source_order	group_id	neglog10_fdr	coverage	fold_enrichment	rank_fdr	rank_fe	avg_rank	Direction	term_label
"""Any process, acting in the presynapse that results in modulation of chemical synaptic transmission."" [GOC:dos]"	25907	28982	5	[[], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], ['EXP', 'IMP'], [], [], [], [], [], ['EXP', 'IDA', 'IMP', 'IEP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IMP'], [], [], ['IDA', 'IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]	presynaptic modulation of chemical synaptic transmission	GO:0099171	0.0015176828429238605	['GO:0050804']	0.06944444444444445	query_1	72	0.08333333333333333	True	GO:BP	60	18828	2	2.8188189754491635	0.06944444444444445	29.984953703703706	1.0	1.0	1.0	CRE downregulated	presynaptic modulation of chemical synaptic transmission
"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	25907	16760	25	[['IGI', 'IBA'], [], ['ISO', 'IEA'], ['IBA', 'IEA'], [], [], ['IDA', 'IMP', 'IGI', 'IBA', 'IEA'], ['IMP'], [], [], [], [], [], ['EXP', 'IMP'], [], [], [], [], ['IMP'], ['EXP', 'IDA', 'IMP', 'IEP'], [], ['IBA', 'IEA'], ['IEA'], [], [], [], [], ['IMP', 'IBA'], [], [], [], ['IEA'], [], [], [], ['IDA', 'ISO', 'IEA'], [], [], [], [], [], [], [], [], ['IMP', 'ISO', 'IEA'], [], [], [], [], [], [], ['IBA'], [], [], [], [], ['ISS', 'IBA', 'IEA'], [], [], ['IMP'], [], [], [], ['IDA'], [], [], ['IDA', 'IMP', 'IEA'], [], [], ['IDA', 'IMP'], ['ISS', 'IEA'], ['IMP'], [], ['ISO'], ['IDA', 'IBA'], [], [], [], [], [], [], [], ['IDA', 'IMP', 'IGI', 'ISO', 'IBA'], [], []]	regulation of signaling	GO:0023051	0.011971376014917589	['GO:0023052', 'GO:0050789']	0.3472222222222222	query_1	72	0.0070264193367060145	True	GO:BP	3558	6606	1	1.9218559280113034	0.3472222222222222	2.52824230216726	2.0	4.0	3.0	CRE downregulated	regulation of signaling
