contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0016192	vesicle-mediated transport	2.690799466243393e-07	1524	657	82	25907	['GO:0006810', 'GO:0009987']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009987	cellular process	2.7988307640700005e-07	21471	657	601	25907	['GO:0008150']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0071705	nitrogen compound transport	3.158540056903033e-07	1949	657	97	25907	['GO:0006810']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:1901698	response to nitrogen compound	3.228421253903857e-07	1183	657	69	25907	['GO:0042221']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	3.8007726524085893e-07	1870	657	94	25907	['GO:0008150']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009889	regulation of biosynthetic process	3.8151316532742755e-07	5622	657	212	25907	['GO:0009058', 'GO:0019222']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0002376	immune system process	3.875302079672714e-07	2848	657	127	25907	['GO:0008150']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0033554	cellular response to stress	3.879373343324088e-07	1814	657	92	25907	['GO:0006950', 'GO:0051716']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0010628	positive regulation of gene expression	4.150163064575292e-07	1216	657	70	25907	['GO:0010467', 'GO:0010468', 'GO:0010557']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0042127	regulation of cell population proliferation	4.691861108399283e-07	1736	657	89	25907	['GO:0008283', 'GO:0050794']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0022603	regulation of anatomical structure morphogenesis	4.800026900892016e-07	890	657	57	25907	['GO:0009653', 'GO:0050793']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0045597	positive regulation of cell differentiation	5.171641378159228e-07	966	657	60	25907	['GO:0030154', 'GO:0045595', 'GO:0048522', 'GO:0051094']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0097193	intrinsic apoptotic signaling pathway	6.948393957551955e-07	303	657	30	25907	['GO:0035556', 'GO:0097190']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0002682	regulation of immune system process	7.881628349433157e-07	1586	657	83	25907	['GO:0002376', 'GO:0050789']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0071840	cellular component organization or biogenesis	8.340837906503409e-07	7867	657	274	25907	['GO:0009987']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0032101	regulation of response to external stimulus	9.553140517139133e-07	1032	657	62	25907	['GO:0009605', 'GO:0048583']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0001817	regulation of cytokine production	9.70435199556868e-07	761	657	51	25907	['GO:0001816', 'GO:0010468', 'GO:0051239']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0019219	regulation of nucleobase-containing compound metabolic process	1.0379840747139322e-06	3842	657	157	25907	['GO:0006139', 'GO:0080090']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009888	tissue development	1.2406044186105235e-06	2116	657	101	25907	['GO:0048856']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0001816	cytokine production	1.273980364326411e-06	767	657	51	25907	['GO:0010467', 'GO:0032501']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0006366	transcription by RNA polymerase II	1.929676953078271e-06	2552	657	115	25907	['GO:0006351']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0006897	endocytosis	2.4086203608109628e-06	686	657	47	25907	['GO:0016192', 'GO:0098657']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0006954	inflammatory response	2.907624046957623e-06	810	657	52	25907	['GO:0006952']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0016043	cellular component organization	3.0346645303004123e-06	7668	657	266	25907	['GO:0071840']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0043207	response to external biotic stimulus	3.135302093224807e-06	1746	657	87	25907	['GO:0009605', 'GO:0009607']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0080134	regulation of response to stress	3.151863526557063e-06	1329	657	72	25907	['GO:0006950', 'GO:0048583']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:2001234	negative regulation of apoptotic signaling pathway	3.80643779825662e-06	232	657	25	25907	['GO:0009968', 'GO:0043066', 'GO:0097190', 'GO:2001233']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0046907	intracellular transport	4.071370510270631e-06	1337	657	72	25907	['GO:0006810', 'GO:0051641', 'GO:0051649']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0015031	protein transport	4.263673041742896e-06	1448	657	76	25907	['GO:0045184', 'GO:0071705']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009607	response to biotic stimulus	4.407045050033196e-06	1787	657	88	25907	['GO:0050896']
ipsi_vs_contra_in_ff	bend-point selected genes	KEGG	KEGG:04010	MAPK signaling pathway	4.773729286340688e-06	301	323	31	9330	['KEGG:00000']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0007264	small GTPase-mediated signal transduction	4.952926929978168e-06	431	657	35	25907	['GO:0141124']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:1902533	positive regulation of intracellular signal transduction	5.020166495351006e-06	1103	657	63	25907	['GO:0009967', 'GO:0035556', 'GO:1902531']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051707	response to other organism	6.158235152369149e-06	1742	657	86	25907	['GO:0043207', 'GO:0044419']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0031399	regulation of protein modification process	7.834692357045019e-06	909	657	55	25907	['GO:0036211', 'GO:0051246']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:1903829	positive regulation of protein localization	1.090893798028959e-05	510	657	38	25907	['GO:0008104', 'GO:0032880', 'GO:0048522']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0043068	positive regulation of programmed cell death	1.1888463431870528e-05	626	657	43	25907	['GO:0012501', 'GO:0043067', 'GO:0048522']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0060429	epithelium development	1.334969370458196e-05	1293	657	69	25907	['GO:0009888']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0043065	positive regulation of apoptotic process	1.687883497213725e-05	610	657	42	25907	['GO:0006915', 'GO:0042981', 'GO:0043068']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0045184	establishment of protein localization	1.7765231383145313e-05	1724	657	84	25907	['GO:0008104', 'GO:0051234']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051252	regulation of RNA metabolic process	1.9484169712092275e-05	3545	657	143	25907	['GO:0016070', 'GO:0019219', 'GO:0060255']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:2001141	regulation of RNA biosynthetic process	2.1330440856159264e-05	3292	657	135	25907	['GO:0010556', 'GO:0032774', 'GO:0051252']
