gene_id	symbol
ENSMUSG00000026628	Atf3
ENSMUSG00000036390	Gadd45a
ENSMUSG00000051379	Flrt3
ENSMUSG00000063632	Sox11
ENSMUSG00000052684	Jun
ENSMUSG00000073680	Tmem88b
ENSMUSG00000019647	Sema6a
ENSMUSG00000001473	Tubb6
ENSMUSG00000031574	Star
ENSMUSG00000042816	Gpr151
ENSMUSG00000003752	Itpkc
ENSMUSG00000004951	Hspb1
ENSMUSG00000039328	Rnf122
ENSMUSG00000038059	Smim3
ENSMUSG00000028494	Plin2
ENSMUSG00000030898	Cckbr
ENSMUSG00000050164	Mchr1
ENSMUSG00000046223	Plaur
ENSMUSG00000030102	Itpr1
ENSMUSG00000022044	Stmn4
ENSMUSG00000037428	Vgf
ENSMUSG00000046731	Kctd11
ENSMUSG00000056749	Nfil3
ENSMUSG00000025473	Adam8
ENSMUSG00000014599	Csf1
ENSMUSG00000022895	Ets2
ENSMUSG00000019876	Pkib
ENSMUSG00000033902	Mapkbp1
ENSMUSG00000046688	Tifa
ENSMUSG00000015652	Steap1
ENSMUSG00000031074	Fgf3
ENSMUSG00000032515	Csrnp1
ENSMUSG00000020427	Igfbp3
ENSMUSG00000023905	Tnfrsf12a
ENSMUSG00000024143	Rhoq
ENSMUSG00000117324	Gm32432
ENSMUSG00000000078	Klf6
ENSMUSG00000037447	Arid5a
ENSMUSG00000027611	Procr
ENSMUSG00000032802	Srxn1
ENSMUSG00000025612	Bach1
ENSMUSG00000044934	Zfp367
ENSMUSG00000021765	Fst
ENSMUSG00000001054	Rmnd5b
ENSMUSG00000109901	Chmp1b
ENSMUSG00000058093	Zfp729b
ENSMUSG00000087006	Gm13889
ENSMUSG00000030256	Bhlhe41
ENSMUSG00000028226	Mmp16
ENSMUSG00000027495	Fam210b
ENSMUSG00000037705	Tecta
ENSMUSG00000048807	Slc35e4
ENSMUSG00000025348	Itga7
ENSMUSG00000041831	Sytl3
ENSMUSG00000030748	Il4ra
ENSMUSG00000023067	Cdkn1a
ENSMUSG00000024404	Riok3
ENSMUSG00000030272	Camk1
ENSMUSG00000061950	Ppp4r1
ENSMUSG00000025089	Gfra1
ENSMUSG00000050989	Selenon
ENSMUSG00000003644	Rps6ka1
ENSMUSG00000024691	Fam111a
ENSMUSG00000029552	Tes
ENSMUSG00000038650	Rnh1
ENSMUSG00000024891	Slc29a2
ENSMUSG00000030095	Tmem43
ENSMUSG00000001542	Ell2
ENSMUSG00000020205	Phlda1
ENSMUSG00000029378	Areg
ENSMUSG00000036160	Surf6
ENSMUSG00000006304	Arpc2
ENSMUSG00000020737	Jpt1
ENSMUSG00000028896	Rcc1
ENSMUSG00000121792	Gm72864
ENSMUSG00000024256	Adcyap1
ENSMUSG00000033060	Lmo7
ENSMUSG00000024883	Rin1
ENSMUSG00000002459	Rgs20
ENSMUSG00000040151	Hs2st1
ENSMUSG00000029201	Ugdh
ENSMUSG00000015745	Plekho1
ENSMUSG00000037568	Vash2
ENSMUSG00000058153	Sez6l
ENSMUSG00000034832	Tet3
ENSMUSG00000027313	Chac1
ENSMUSG00000021453	Gadd45g
ENSMUSG00000054855	Rnd1
ENSMUSG00000026836	Acvr1
ENSMUSG00000033983	Coil
ENSMUSG00000031681	Smad1
ENSMUSG00000024664	Fads3
ENSMUSG00000066838	Zfp772
ENSMUSG00000021070	Bdkrb2
ENSMUSG00000034300	Fam53c
ENSMUSG00000030681	Mvp
ENSMUSG00000026670	Uap1
ENSMUSG00000041870	Ankrd13a
ENSMUSG00000101797	Gm29266
ENSMUSG00000042688	Mapk6
ENSMUSG00000079442	St6galnac4
ENSMUSG00000039232	Stx11
ENSMUSG00000026558	Uck2
ENSMUSG00000043003	Rasef
ENSMUSG00000035621	Midn
ENSMUSG00000002250	Ppard
ENSMUSG00000007041	Clic1
ENSMUSG00000025648	Pfkfb4
ENSMUSG00000000278	Scpep1
ENSMUSG00000048216	Gpr85
ENSMUSG00000035828	Pim3
ENSMUSG00000044734	Serpinb1a
ENSMUSG00000037280	Galnt6
ENSMUSG00000018736	Ndel1
ENSMUSG00000056076	Eif3b
ENSMUSG00000025239	Limd1
ENSMUSG00000038943	Prc1
ENSMUSG00000035671	Zswim4
ENSMUSG00000043091	Tuba1c
ENSMUSG00000004846	Plod3
ENSMUSG00000032578	Cish
ENSMUSG00000011179	Odc1
ENSMUSG00000037638	Zbtb42
ENSMUSG00000032641	Gpr19
ENSMUSG00000120463	Gm57420
ENSMUSG00000027198	Ext2
ENSMUSG00000024376	Epb41l4a
ENSMUSG00000037458	Azin1
ENSMUSG00000042804	Gpr153
ENSMUSG00000035673	Sbno2
ENSMUSG00000028793	Rnf19b
ENSMUSG00000015341	Golga7
ENSMUSG00000042507	Mideas
ENSMUSG00000025337	Sbds
ENSMUSG00000027540	Ptpn1
ENSMUSG00000024785	Rcl1
ENSMUSG00000048482	Bdnf
ENSMUSG00000109770	Gm30085
ENSMUSG00000050359	Sprr1a
ENSMUSG00000024261	Syt4
ENSMUSG00000068566	Myadm
ENSMUSG00000100426	Gm4208
ENSMUSG00000021501	Caml
ENSMUSG00000038023	Atp6v0a2
ENSMUSG00000021400	Wrnip1
ENSMUSG00000007812	Zfp655
ENSMUSG00000063889	Crem
ENSMUSG00000003153	Slc2a3
ENSMUSG00000038894	Irs2
ENSMUSG00000055723	Rras2
ENSMUSG00000039473	Ubn1
ENSMUSG00000020248	Nfyb
ENSMUSG00000027583	Zbtb46
ENSMUSG00000027597	Ahcy
ENSMUSG00000028156	Eif4e
ENSMUSG00000005069	Pex5
ENSMUSG00000026796	Niban2
ENSMUSG00000002233	Rhoc
ENSMUSG00000027035	Cers6
ENSMUSG00000014195	Dnajc7
ENSMUSG00000044364	Tmem74b
ENSMUSG00000039954	Stk32a
ENSMUSG00000030057	Cnbp
ENSMUSG00000029518	Rab35
ENSMUSG00000036002	Atosb
ENSMUSG00000022661	Cd200
ENSMUSG00000032280	Tle3
ENSMUSG00000040511	Pvr
ENSMUSG00000040312	Cchcr1
ENSMUSG00000025746	Il6
ENSMUSG00000011008	Mcoln2
ENSMUSG00000022272	Myo10
ENSMUSG00000020580	Rock2
ENSMUSG00000078532	Nkain1
ENSMUSG00000028645	Slc2a1
ENSMUSG00000026655	Fam107b
ENSMUSG00000041548	Hspb8
ENSMUSG00000005087	Cd44
ENSMUSG00000021140	Pcnx1
ENSMUSG00000030878	Cdr2
ENSMUSG00000022096	Hr
ENSMUSG00000051343	Rab11fip5
ENSMUSG00000021996	Esd
ENSMUSG00000026675	Hsd17b7
ENSMUSG00000029641	Rasl11a
ENSMUSG00000005370	Msh6
ENSMUSG00000029135	Fosl2
ENSMUSG00000054136	Adm2
ENSMUSG00000022607	Ptk2
ENSMUSG00000048490	Nrip1
ENSMUSG00000024521	Pmaip1
ENSMUSG00000020142	Slc1a4
ENSMUSG00000050271	Prag1
ENSMUSG00000030677	Kif22
ENSMUSG00000035392	Dennd1a
ENSMUSG00000043895	S1pr2
ENSMUSG00000047368	Abhd17b
ENSMUSG00000024772	Ehd1
ENSMUSG00000028063	Lmna
ENSMUSG00000023169	Slc38a1
ENSMUSG00000028893	Sesn2
ENSMUSG00000026317	Cln8
ENSMUSG00000037722	Gnpnat1
ENSMUSG00000028789	Azin2
ENSMUSG00000074115	Saa1
ENSMUSG00000028145	Them4
ENSMUSG00000025503	Taldo1
ENSMUSG00000015316	Slamf1
ENSMUSG00000063506	Arhgap22
ENSMUSG00000007458	M6pr
ENSMUSG00000040322	Slc25a24
ENSMUSG00000028849	Map7d1
ENSMUSG00000034247	Plekhm1
ENSMUSG00000040435	Ppp1r15a
ENSMUSG00000037580	Gch1
ENSMUSG00000046854	Pip5kl1
ENSMUSG00000079049	Serpinb1c
ENSMUSG00000020064	Herc4
ENSMUSG00000039364	Sectm1b
ENSMUSG00000049303	Syt12
ENSMUSG00000020435	Osbp2
ENSMUSG00000024014	Pim1
ENSMUSG00000023030	Slc11a2
ENSMUSG00000042726	Trafd1
ENSMUSG00000023286	Ube2j2
ENSMUSG00000045648	Vwc2l
ENSMUSG00000038267	Slc22a23
ENSMUSG00000001627	Ifrd1
ENSMUSG00000031545	Gpat4
ENSMUSG00000020838	Slc6a4
ENSMUSG00000126371	
ENSMUSG00000024349	Sting1
ENSMUSG00000055078	Gabra5
ENSMUSG00000050721	Plekho2
ENSMUSG00000025809	Itgb1
ENSMUSG00000004768	Rab23
ENSMUSG00000026254	Eif4e2
ENSMUSG00000023387	Kcnk16
ENSMUSG00000037062	Sh3glb1
ENSMUSG00000029321	Slc10a6
ENSMUSG00000026107	Nabp1
ENSMUSG00000030029	Lrig1
ENSMUSG00000005667	Mthfd2
ENSMUSG00000034783	Cd207
ENSMUSG00000033039	Micall1
ENSMUSG00000067787	Blcap
ENSMUSG00000042406	Atf4
ENSMUSG00000027293	Ehd4
ENSMUSG00000055994	Nod2
ENSMUSG00000057561	Eif1a
ENSMUSG00000106350	Kif19b
ENSMUSG00000039879	Heca
ENSMUSG00000010660	Plcd1
ENSMUSG00000031628	Casp3
ENSMUSG00000024360	Etf1
ENSMUSG00000069094	Pde7a
ENSMUSG00000034245	Hdac11
ENSMUSG00000020592	Sdc1
ENSMUSG00000034591	Slc41a2
ENSMUSG00000038552	Fndc4
ENSMUSG00000018507	Trpv2
ENSMUSG00000046378	Asphd1
ENSMUSG00000032939	Nup93
ENSMUSG00000023079	Gtf2ird1
ENSMUSG00000050410	Tcf19
ENSMUSG00000050064	Zfp697
ENSMUSG00000099655	2310034G01Rik
ENSMUSG00000027613	Eif6
ENSMUSG00000001847	Rac1
ENSMUSG00000057531	Dtnbp1
ENSMUSG00000027560	Dok5
ENSMUSG00000103523	2210017I01Rik
ENSMUSG00000024190	Dusp1
ENSMUSG00000015243	Abca1
ENSMUSG00000022043	Trim35
ENSMUSG00000033316	Galnt9
ENSMUSG00000040025	Ythdf2
ENSMUSG00000025351	Cd63
ENSMUSG00000022951	Rcan1
ENSMUSG00000025408	Ddit3
ENSMUSG00000059866	Tnip2
ENSMUSG00000033350	Chst2
ENSMUSG00000055407	Map6
ENSMUSG00000033955	Tnks1bp1
ENSMUSG00000042608	Stk40
ENSMUSG00000020271	Fbxw11
ENSMUSG00000005950	P2rx5
ENSMUSG00000028869	Gnl2
ENSMUSG00000094002	Silc1
ENSMUSG00000031078	Cttn
ENSMUSG00000036437	Npy1r
ENSMUSG00000050335	Lgals3
ENSMUSG00000018362	Kpna2
ENSMUSG00000057594	Arl16
ENSMUSG00000025139	Tollip
ENSMUSG00000028255	Clca1
ENSMUSG00000036478	Btg1
ENSMUSG00000030678	Maz
ENSMUSG00000035199	Arl6ip5
ENSMUSG00000052557	Gan
ENSMUSG00000032902	Slc16a1
ENSMUSG00000022602	Arc
ENSMUSG00000044017	Adgrd1
ENSMUSG00000044147	Arf6
ENSMUSG00000021843	Ktn1
ENSMUSG00000073563	Csnk1g3
ENSMUSG00000032231	Anxa2
ENSMUSG00000021411	Pxdc1
ENSMUSG00000021133	Susd6
ENSMUSG00000059479	B3gnt8
