srr	sample_title	geno_class	side_class	platform_family	gc_status
SRR35329977	Replicate H64, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN
SRR35329978	Replicate H65,  Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN
SRR35329979	Replicate H96,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN
SRR35329980	Replicate H97,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN
SRR35329981	Replicate H65,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN
SRR35329982	Replicate H62,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN
SRR35329983	Replicate H61, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN
SRR35329984	Replicate H62,  Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN
SRR35329985	Replicate H64, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN
SRR35329986	Replicate H63, Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN
SRR35329987	Replicate H95, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN
SRR35329988	Replicate H99, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN
SRR35329989	Replicate H63,  Wildtype, Contralateral tissue	ff	contra	NovaSeq X	WARN
SRR35329990	Replicate H100, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN
SRR35329991	Replicate H96, Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN
SRR35329992	Replicate H97, Wildtype, Ipsilateral tissue	ff	ipsi	NovaSeq X	WARN
SRR35329993	Replicate H99, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN
SRR35329994	Replicate H100, CRE genotype, Ipsilateral tissue	cre	ipsi	NovaSeq X	WARN
SRR35329995	Replicate H95, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN
SRR35329996	Replicate H6, CRE genotype, Contralateral tissue	cre	contra	NovaSeq X	WARN
